,player,runs,mins,bf,4s,6s,sr,inns_batting,unnamed:,overs,mdns,runs,wkts,econ,inns_batting,dis,ct,st,ct_wk,ct_fi,opposition,ground,start_date,country
4350,Ibrahim Zadran,17,45,29,1,1,58.62,2,,DNB,-,-,-,-,1,0,0,0,0,0,v South Africa,Karachi,2025-02-21,AFG
11940,Sediqullah Atal,16,46,32,2,0,50.00,2,,DNB,-,-,-,-,1,1,1,0,0,1,v South Africa,Karachi,2025-02-21,AFG
10961,Rashid Khan,18,12,13,3,1,138.46,2,,10.0,0,59,0,5.90,1,0,0,0,0,0,v South Africa,Karachi,2025-02-21,AFG
12659,T de Zorzi,11,23,11,2,0,100.00,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Afghanistan,Karachi,2025-02-21,SA
10763,Rahmanullah Gurbaz,10,18,14,1,0,71.42,2,,DNB,-,-,-,-,1,0,0,0,0,0,v South Africa,Karachi,2025-02-21,AFG
10142,PWA Mulder,12*,7,6,1,1,200.00,1,,9.0,0,36,2,4.00,2,0,0,0,0,0,v Afghanistan,Karachi,2025-02-21,SA
4223,Hashmatullah Shahidi,0,3,4,0,0,0.00,2,,DNB,-,-,-,-,1,1,1,0,0,1,v South Africa,Karachi,2025-02-21,AFG
3230,Fazalhaq Farooqi,0*,2,0,0,0,-,2,,8.0,0,59,1,7.37,1,0,0,0,0,0,v South Africa,Karachi,2025-02-21,AFG
5994,KA Maharaj,DNB,-,-,-,-,-,1,,10.0,0,46,1,4.60,2,1,1,0,0,1,v Afghanistan,Karachi,2025-02-21,SA
441,AK Markram,52*,60,36,6,1,144.44,1,,DNB,-,-,-,-,2,1,1,0,0,1,v Afghanistan,Karachi,2025-02-21,SA
5852,K Rabada,DNB,-,-,-,-,-,1,,8.3,1,36,3,4.23,2,1,1,0,0,1,v Afghanistan,Karachi,2025-02-21,SA
12396,Shubman Gill,101*,-,129,9,2,78.29,2,,DNB,-,-,-,-,1,1,1,0,0,1,v Bangladesh,Dubai (DICS),2025-02-20,IND
9111,Mohammed Shami,DNB,-,-,-,-,-,2,,10.0,0,53,5,5.30,1,1,1,0,0,1,v Bangladesh,Dubai (DICS),2025-02-20,IND
13301,Taskin Ahmed,3,16,6,0,0,50.00,1,,9.0,0,36,1,4.00,2,0,0,0,0,0,v India,Dubai (DICS),2025-02-20,BAN
13572,V Kohli,22,-,38,1,0,57.89,2,,DNB,-,-,-,-,1,2,2,0,0,2,v Bangladesh,Dubai (DICS),2025-02-20,IND
12472,Soumya Sarkar,0,4,5,0,0,0.00,1,,DNB,-,-,-,-,2,1,1,0,0,1,v India,Dubai (DICS),2025-02-20,BAN
9360,Mushfiqur Rahim,0,1,1,0,0,0.00,1,,DNB,-,-,-,-,2,0,0,0,0,0,v India,Dubai (DICS),2025-02-20,BAN
10483,RG Sharma,41,-,36,7,0,113.88,2,,DNB,-,-,-,-,1,0,0,0,0,0,v Bangladesh,Dubai (DICS),2025-02-20,IND
13269,Tanzim Hasan Sakib,0,4,4,0,0,0.00,1,,8.3,0,58,0,6.82,2,0,0,0,0,0,v India,Dubai (DICS),2025-02-20,BAN
4075,Harshit Rana,DNB,-,-,-,-,-,2,,7.4,0,31,3,4.04,1,0,0,0,0,0,v Bangladesh,Dubai (DICS),2025-02-20,IND
10378,RA Jadeja,DNB,-,-,-,-,-,2,,9.0,0,37,0,4.11,1,0,0,0,0,0,v Bangladesh,Dubai (DICS),2025-02-20,IND
6436,Kuldeep Yadav,DNB,-,-,-,-,-,2,,10.0,0,43,0,4.30,1,0,0,0,0,0,v Bangladesh,Dubai (DICS),2025-02-20,IND
9487,Mustafizur Rahman,0*,4,2,0,0,0.00,1,,9.0,0,62,1,6.88,2,0,0,0,0,0,v India,Dubai (DICS),2025-02-20,BAN
5787,Jaker Ali,68,127,114,4,0,59.64,1,,DNB,-,-,-,-,2,0,0,0,0,0,v India,Dubai (DICS),2025-02-20,BAN
