,player,runs,mins,bf,4s,6s,sr,inns_batting,unnamed:,overs,mdns,runs,wkts,econ,inns_batting,dis,ct,st,ct_wk,ct_fi,opposition,ground,start_date,country
6448,Kuldeep Yadav,DNB,-,-,-,-,-,1,,10.0,0,84,0,8.40,2,0,0,0,0,0,v England,Pune,2021-03-26,IND
2521,DJ Mitchell,100*,122,92,9,2,108.69,1,,4.0,0,25,0,6.25,2,0,0,0,0,0,v Bangladesh,Wellington,2021-03-26,NZ
6063,KH Pandya,12*,17,9,1,0,133.33,1,,6.0,0,72,0,12.00,2,0,0,0,0,0,v England,Pune,2021-03-26,IND
6880,LS Livingstone,27*,33,21,1,2,128.57,2,,DNB,-,-,-,-,1,0,0,0,0,0,v India,Pune,2021-03-26,ENG
882,AU Rashid,DNB,-,-,-,-,-,2,,10.0,0,65,1,6.50,1,1,1,0,0,1,v India,Pune,2021-03-26,ENG
12496,Soumya Sarkar,1,9,6,0,0,16.66,2,,8.0,0,37,1,4.62,1,0,0,0,0,0,v New Zealand,Wellington,2021-03-26,BAN
8259,Mahmudullah,76*,107,73,6,4,104.10,2,,DNB,-,-,-,-,1,0,0,0,0,0,v New Zealand,Wellington,2021-03-26,BAN
4836,JC Buttler,0,5,3,0,0,0.00,2,,DNB,-,-,-,-,1,1,1,0,1,0,v India,Pune,2021-03-26,ENG
5250,JJ Roy,55,80,52,7,1,105.76,2,,DNB,-,-,-,-,1,2,2,0,0,2,v India,Pune,2021-03-26,ENG
1438,B Kumar,DNB,-,-,-,-,-,1,,10.0,0,63,1,6.30,2,0,0,0,0,0,v England,Pune,2021-03-26,IND
13593,V Kohli,66,110,79,3,1,83.54,1,,DNB,-,-,-,-,2,1,1,0,0,1,v England,Pune,2021-03-26,IND
3905,HM Nicholls,18,37,21,2,0,85.71,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Bangladesh,Wellington,2021-03-26,NZ
7750,MM Ali,DNB,-,-,-,-,-,2,,10.0,0,47,0,4.70,1,0,0,0,0,0,v India,Pune,2021-03-26,ENG
13319,Taskin Ahmed,9,30,24,2,0,37.50,2,,10.0,1,52,1,5.20,1,0,0,0,0,0,v New Zealand,Wellington,2021-03-26,BAN
4948,JDS Neesham,4,7,4,0,0,100.00,1,,7.4,1,27,5,3.52,2,1,1,0,0,1,v Bangladesh,Wellington,2021-03-26,NZ
8201,Mahedi Hasan,3,10,8,0,0,37.50,2,,7.0,0,46,0,6.57,1,0,0,0,0,0,v New Zealand,Wellington,2021-03-26,BAN
7476,MJ Henry,DNB,-,-,-,-,-,1,,10.0,2,27,4,2.70,2,0,0,0,0,0,v Bangladesh,Wellington,2021-03-26,NZ
10504,RG Sharma,25,38,25,5,0,100.00,1,,DNB,-,-,-,-,2,0,0,0,0,0,v England,Pune,2021-03-26,IND
11373,SM Curran,DNB,-,-,-,-,-,2,,7.0,0,47,1,6.71,1,0,0,0,0,0,v India,Pune,2021-03-26,ENG
5384,JM Bairstow,124,174,112,11,7,110.71,2,,DNB,-,-,-,-,1,0,0,0,0,0,v India,Pune,2021-03-26,ENG
11055,Rubel Hossain,4,36,28,0,0,14.28,2,,10.0,1,70,3,7.00,1,0,0,0,0,0,v New Zealand,Wellington,2021-03-26,BAN
12887,TK Curran,DNB,-,-,-,-,-,2,,10.0,0,83,2,8.30,1,0,0,0,0,0,v India,Pune,2021-03-26,ENG
5984,KA Jamieson,DNB,-,-,-,-,-,1,,8.0,0,30,1,3.75,2,0,0,0,0,0,v Bangladesh,Wellington,2021-03-26,NZ
13185,Tamim Iqbal,1,10,9,0,0,11.11,2,,DNB,-,-,-,-,1,0,0,0,0,0,v New Zealand,Wellington,2021-03-26,BAN
7116,M Prasidh Krishna,DNB,-,-,-,-,-,1,,10.0,0,58,2,5.80,2,0,0,0,0,0,v England,Pune,2021-03-26,IND
1550,BA Stokes,99,90,52,4,10,190.38,2,,5.0,0,42,0,8.40,1,1,1,0,0,1,v India,Pune,2021-03-26,ENG
8699,Mohammad Mithun,6,61,39,0,0,15.38,2,,DNB,-,-,-,-,1,0,0,0,0,0,v New Zealand,Wellington,2021-03-26,BAN
9397,Mushfiqur Rahim,21,74,44,1,0,47.72,2,,DNB,-,-,-,-,1,1,1,0,1,0,v New Zealand,Wellington,2021-03-26,BAN
13017,TWM Latham,18,48,33,1,0,54.54,1,,DNB,-,-,-,-,2,3,3,0,3,0,v Bangladesh,Wellington,2021-03-26,NZ
6948,Litton Das,21,30,21,3,0,100.00,2,,DNB,-,-,-,-,1,3,3,0,0,3,v New Zealand,Wellington,2021-03-26,BAN
7589,MJ Santner,3*,8,1,0,0,300.00,1,,3.0,0,7,0,2.33,2,1,1,0,0,1,v Bangladesh,Wellington,2021-03-26,NZ
9518,Mustafizur Rahman,0,4,3,0,0,0.00,2,,10.0,0,87,1,8.70,1,0,0,0,0,0,v New Zealand,Wellington,2021-03-26,BAN
8456,Mehidy Hasan Miraz,0,2,2,0,0,0.00,2,,5.0,0,23,0,4.60,1,1,1,0,0,1,v New Zealand,Wellington,2021-03-26,BAN
6134,KL Rahul,108,156,114,7,2,94.73,1,,DNB,-,-,-,-,2,0,0,0,0,0,v England,Pune,2021-03-26,IND
13172,Tamim Iqbal,78,136,108,11,0,72.22,1,,DNB,-,-,-,-,2,0,0,0,0,0,v New Zealand,Christchurch,2021-03-23,BAN
12707,TA Boult,DNB,-,-,-,-,-,2,,10.0,0,49,1,4.90,1,0,0,0,0,0,v Bangladesh,Christchurch,2021-03-23,NZ
13592,V Kohli,56,65,60,6,0,93.33,1,,DNB,-,-,-,-,2,1,1,0,0,1,v England,Pune,2021-03-23,IND
5979,KA Jamieson,DNB,-,-,-,-,-,2,,10.0,2,36,1,3.60,1,0,0,0,0,0,v Bangladesh,Christchurch,2021-03-23,NZ
3895,HM Nicholls,13,38,18,1,0,72.22,2,,DNB,-,-,-,-,1,2,2,0,0,2,v Bangladesh,Christchurch,2021-03-23,NZ
13312,Taskin Ahmed,DNB,-,-,-,-,-,1,,10.0,0,67,0,6.70,2,0,0,0,0,0,v New Zealand,Christchurch,2021-03-23,BAN
11695,SW Billings,18,35,22,1,0,81.81,2,,DNB,-,-,-,-,1,0,0,0,0,0,v India,Pune,2021-03-23,ENG
12482,Soumya Sarkar,32,90,46,3,1,69.56,1,,0.3,0,7,0,14.00,2,1,1,0,0,1,v New Zealand,Christchurch,2021-03-23,BAN
7749,MM Ali,30,54,37,2,1,81.08,2,,3.0,0,28,0,9.33,1,1,1,0,0,1,v India,Pune,2021-03-23,ENG
2519,DJ Mitchell,12*,16,6,2,0,200.00,2,,1.0,0,8,0,8.00,1,0,0,0,0,0,v Bangladesh,Christchurch,2021-03-23,NZ
1549,BA Stokes,1,10,11,0,0,9.09,2,,8.0,1,34,3,4.25,1,0,0,0,0,0,v India,Pune,2021-03-23,ENG
9504,Mustafizur Rahman,DNB,-,-,-,-,-,1,,8.3,0,62,2,7.29,2,1,1,0,0,1,v New Zealand,Christchurch,2021-03-23,BAN
4938,JDS Neesham,30,50,34,2,0,88.23,2,,9.0,0,73,0,8.11,1,0,0,0,0,0,v Bangladesh,Christchurch,2021-03-23,NZ
7469,MJ Henry,DNB,-,-,-,-,-,2,,10.0,3,48,1,4.80,1,0,0,0,0,0,v Bangladesh,Christchurch,2021-03-23,NZ
13719,WA Young,1,9,7,0,0,14.28,2,,DNB,-,-,-,-,1,1,1,0,0,1,v Bangladesh,Christchurch,2021-03-23,NZ
4835,JC Buttler,2,14,4,0,0,50.00,2,,DNB,-,-,-,-,1,1,1,0,1,0,v India,Pune,2021-03-23,ENG
7115,M Prasidh Krishna,DNB,-,-,-,-,-,1,,8.1,1,54,4,6.61,2,0,0,0,0,0,v England,Pune,2021-03-23,IND
2835,EJG Morgan,22,36,30,1,1,73.33,2,,DNB,-,-,-,-,1,1,1,0,0,1,v India,Pune,2021-03-23,ENG
11372,SM Curran,12,24,20,1,0,60.00,2,,10.0,1,48,0,4.80,1,0,0,0,0,0,v India,Pune,2021-03-23,ENG
6939,Litton Das,0,6,4,0,0,0.00,1,,DNB,-,-,-,-,2,0,0,0,0,0,v New Zealand,Christchurch,2021-03-23,BAN
5249,JJ Roy,46,68,35,7,1,131.42,2,,DNB,-,-,-,-,1,0,0,0,0,0,v India,Pune,2021-03-23,ENG
5383,JM Bairstow,94,105,66,6,7,142.42,2,,DNB,-,-,-,-,1,1,1,0,0,1,v India,Pune,2021-03-23,ENG
3750,HH Pandya,1,13,9,0,0,11.11,1,,DNB,-,-,-,-,2,0,0,0,0,0,v England,Pune,2021-03-23,IND
11129,S Dhawan,98,180,106,11,2,92.45,1,,DNB,-,-,-,-,2,0,0,0,0,0,v England,Pune,2021-03-23,IND
8985,Mohammad Saifuddin,7*,7,4,0,0,175.00,1,,7.2,0,43,0,5.86,2,0,0,0,0,0,v New Zealand,Christchurch,2021-03-23,BAN
11411,SN Thakur,DNB,-,-,-,-,-,1,,6.0,0,37,3,6.16,2,0,0,0,0,0,v England,Pune,2021-03-23,IND
12886,TK Curran,11,21,16,1,0,68.75,2,,10.0,0,63,0,6.30,1,0,0,0,0,0,v India,Pune,2021-03-23,ENG
6447,Kuldeep Yadav,DNB,-,-,-,-,-,1,,9.0,0,68,0,7.55,2,1,1,0,0,1,v England,Pune,2021-03-23,IND
7261,MA Wood,2*,13,7,0,0,28.57,2,,10.0,1,75,2,7.50,1,0,0,0,0,0,v India,Pune,2021-03-23,ENG
1437,B Kumar,DNB,-,-,-,-,-,1,,9.0,0,30,2,3.33,2,1,1,0,0,1,v England,Pune,2021-03-23,IND
11595,SS Iyer,6,16,9,1,0,66.66,1,,DNB,-,-,-,-,2,0,0,0,0,0,v England,Pune,2021-03-23,IND
2672,DP Conway,72,113,93,7,0,77.41,2,,DNB,-,-,-,-,1,0,0,0,0,0,v Bangladesh,Christchurch,2021-03-23,NZ
8446,Mehidy Hasan Miraz,DNB,-,-,-,-,-,1,,10.0,1,38,0,3.80,2,0,0,0,0,0,v New Zealand,Christchurch,2021-03-23,BAN
8695,Mohammad Mithun,73*,89,57,6,2,128.07,1,,2.0,0,12,0,6.00,2,0,0,0,0,0,v New Zealand,Christchurch,2021-03-23,BAN
8244,Mahmudullah,16,33,18,1,0,88.88,1,,DNB,-,-,-,-,2,0,0,0,0,0,v New Zealand,Christchurch,2021-03-23,BAN
13003,TWM Latham,110*,153,108,10,0,101.85,2,,DNB,-,-,-,-,1,1,0,1,0,0,v Bangladesh,Christchurch,2021-03-23,NZ
10503,RG Sharma,28,79,42,4,0,66.66,1,,DNB,-,-,-,-,2,0,0,0,0,0,v England,Pune,2021-03-23,IND
881,AU Rashid,0,5,5,0,0,0.00,2,,9.0,0,66,0,7.33,1,0,0,0,0,0,v India,Pune,2021-03-23,ENG
6133,KL Rahul,62*,84,43,4,4,144.18,1,,DNB,-,-,-,-,2,3,3,0,3,0,v England,Pune,2021-03-23,IND
9383,Mushfiqur Rahim,34,81,59,3,0,57.62,1,,DNB,-,-,-,-,2,0,0,0,0,0,v New Zealand,Christchurch,2021-03-23,BAN
7372,MJ Guptill,20,22,24,3,1,83.33,2,,DNB,-,-,-,-,1,1,1,0,0,1,v Bangladesh,Christchurch,2021-03-23,NZ
6062,KH Pandya,58*,52,31,7,2,187.09,1,,10.0,0,59,1,5.90,2,0,0,0,0,0,v England,Pune,2021-03-23,IND
7578,MJ Santner,DNB,-,-,-,-,-,2,,10.0,0,51,2,5.10,1,0,0,0,0,0,v Bangladesh,Christchurch,2021-03-23,NZ
8196,Mahedi Hasan,7,5,5,0,1,140.00,1,,10.0,1,42,2,4.20,2,0,0,0,0,0,v New Zealand,Christchurch,2021-03-23,BAN
7471,MJ Henry,DNB,-,-,-,-,-,2,,9.0,1,26,1,2.88,1,0,0,0,0,0,v Bangladesh,Dunedin,2021-03-20,NZ
2520,DJ Mitchell,DNB,-,-,-,-,-,2,,DNB,-,-,-,-,1,0,0,0,0,0,v Bangladesh,Dunedin,2021-03-20,NZ
13009,TWM Latham,DNB,-,-,-,-,-,2,,DNB,-,-,-,-,1,0,0,0,0,0,v Bangladesh,Dunedin,2021-03-20,NZ
13721,WA Young,11*,6,6,2,0,183.33,2,,DNB,-,-,-,-,1,0,0,0,0,0,v Bangladesh,Dunedin,2021-03-20,NZ
4157,Hasan Mahmud,1,5,5,0,0,20.00,1,,4.2,0,49,1,11.30,2,0,0,0,0,0,v New Zealand,Dunedin,2021-03-20,BAN
6942,Litton Das,19,56,36,1,0,52.77,1,,DNB,-,-,-,-,2,0,0,0,0,0,v New Zealand,Dunedin,2021-03-20,BAN
7583,MJ Santner,DNB,-,-,-,-,-,2,,8.0,0,23,2,2.87,1,2,2,0,0,2,v Bangladesh,Dunedin,2021-03-20,NZ
13314,Taskin Ahmed,10,48,32,1,0,31.25,1,,4.0,0,23,1,5.75,2,0,0,0,0,0,v New Zealand,Dunedin,2021-03-20,BAN
7375,MJ Guptill,38,28,19,3,4,200.00,2,,DNB,-,-,-,-,1,1,1,0,0,1,v Bangladesh,Dunedin,2021-03-20,NZ
2673,DP Conway,27,61,52,2,0,51.92,2,,DNB,-,-,-,-,1,1,1,0,0,1,v Bangladesh,Dunedin,2021-03-20,NZ
8249,Mahmudullah,27,83,54,1,1,50.00,1,,DNB,-,-,-,-,2,1,1,0,0,1,v New Zealand,Dunedin,2021-03-20,BAN
9510,Mustafizur Rahman,1*,3,1,0,0,100.00,1,,4.0,0,26,0,6.50,2,0,0,0,0,0,v New Zealand,Dunedin,2021-03-20,BAN
4943,JDS Neesham,DNB,-,-,-,-,-,2,,8.0,1,27,2,3.37,1,0,0,0,0,0,v Bangladesh,Dunedin,2021-03-20,NZ
9389,Mushfiqur Rahim,23,75,49,2,0,46.93,1,,DNB,-,-,-,-,2,1,1,0,1,0,v New Zealand,Dunedin,2021-03-20,BAN
12488,Soumya Sarkar,0,3,3,0,0,0.00,1,,1.0,0,5,0,5.00,2,0,0,0,0,0,v New Zealand,Dunedin,2021-03-20,BAN
5980,KA Jamieson,DNB,-,-,-,-,-,2,,8.0,1,25,0,3.12,1,0,0,0,0,0,v Bangladesh,Dunedin,2021-03-20,NZ
8450,Mehidy Hasan Miraz,1,16,10,0,0,10.00,1,,2.0,0,9,0,4.50,2,0,0,0,0,0,v New Zealand,Dunedin,2021-03-20,BAN
13177,Tamim Iqbal,13,16,15,1,1,86.66,1,,DNB,-,-,-,-,2,0,0,0,0,0,v New Zealand,Dunedin,2021-03-20,BAN
8197,Mahedi Hasan,14,17,20,1,1,70.00,1,,6.0,0,17,0,2.83,2,0,0,0,0,0,v New Zealand,Dunedin,2021-03-20,BAN
12710,TA Boult,DNB,-,-,-,-,-,2,,8.5,0,27,4,3.05,1,1,1,0,0,1,v Bangladesh,Dunedin,2021-03-20,NZ
8696,Mohammad Mithun,9,49,27,1,0,33.33,1,,DNB,-,-,-,-,2,0,0,0,0,0,v New Zealand,Dunedin,2021-03-20,BAN
3898,HM Nicholls,49*,96,53,6,0,92.45,2,,DNB,-,-,-,-,1,1,1,0,0,1,v Bangladesh,Dunedin,2021-03-20,NZ
9269,Mujeeb Ur Rahman,18*,33,18,2,0,100.00,1,,10.0,0,43,2,4.30,2,0,0,0,0,0,v Ireland,Abu Dhabi,2021-01-26,AFG
5799,Javed Ahmadi,19,21,10,3,1,190.00,1,,8.0,0,35,0,4.37,2,0,0,0,0,0,v Ireland,Abu Dhabi,2021-01-26,AFG
4195,Hashmatullah Shahidi,10,32,25,0,0,40.00,1,,DNB,-,-,-,-,2,1,1,0,0,1,v Ireland,Abu Dhabi,2021-01-26,AFG
9703,Najibullah Zadran,0,4,2,0,0,0.00,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Ireland,Abu Dhabi,2021-01-26,AFG
10750,Rahmanullah Gurbaz,22,12,10,4,1,220.00,1,,DNB,-,-,-,-,2,1,1,0,1,0,v Ireland,Abu Dhabi,2021-01-26,AFG
1248,Asghar Afghan,41,126,82,3,1,50.00,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Ireland,Abu Dhabi,2021-01-26,AFG
9912,Naveen-ul-Haq,10*,10,7,2,0,142.85,1,,7.1,0,45,1,6.27,2,0,0,0,0,0,v Ireland,Abu Dhabi,2021-01-26,AFG
8751,Mohammad Nabi,32,56,54,3,1,59.25,1,,10.0,0,53,1,5.30,2,0,0,0,0,0,v Ireland,Abu Dhabi,2021-01-26,AFG
3499,Gulbadin Naib,36,76,44,3,1,81.81,1,,3.0,0,23,0,7.66,2,0,0,0,0,0,v Ireland,Abu Dhabi,2021-01-26,AFG
10808,Rahmat Shah,2,12,9,0,0,22.22,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Ireland,Abu Dhabi,2021-01-26,AFG
10920,Rashid Khan,48,56,40,3,3,120.00,1,,9.0,0,29,4,3.22,2,0,0,0,0,0,v Ireland,Abu Dhabi,2021-01-26,AFG
12521,Soumya Sarkar,7,16,8,0,0,87.50,1,,3.1,0,22,1,6.94,2,0,0,0,0,0,v West Indies,Chattogram,2021-01-25,BAN
6973,Litton Das,0,4,4,0,0,0.00,1,,DNB,-,-,-,-,2,0,0,0,0,0,v West Indies,Chattogram,2021-01-25,BAN
8996,Mohammad Saifuddin,5*,4,2,1,0,250.00,1,,9.0,0,51,3,5.66,2,0,0,0,0,0,v West Indies,Chattogram,2021-01-25,BAN
12204,Shakib Al Hasan,51,120,81,3,0,62.96,1,,4.5,0,12,0,2.48,2,0,0,0,0,0,v West Indies,Chattogram,2021-01-25,BAN
13347,Taskin Ahmed,DNB,-,-,-,-,-,1,,8.2,1,32,1,3.84,2,1,1,0,0,1,v West Indies,Chattogram,2021-01-25,BAN
9801,Najmul Hossain Shanto,20,40,30,3,0,66.66,1,,1.0,0,4,0,4.00,2,0,0,0,0,0,v West Indies,Chattogram,2021-01-25,BAN
9545,Mustafizur Rahman,DNB,-,-,-,-,-,1,,6.0,0,24,2,4.00,2,0,0,0,0,0,v West Indies,Chattogram,2021-01-25,BAN
13214,Tamim Iqbal,64,124,80,3,1,80.00,1,,DNB,-,-,-,-,2,0,0,0,0,0,v West Indies,Chattogram,2021-01-25,BAN
8300,Mahmudullah,64*,63,43,3,3,148.83,1,,2.0,0,11,0,5.50,2,0,0,0,0,0,v West Indies,Chattogram,2021-01-25,BAN
9438,Mushfiqur Rahim,64,84,55,4,2,116.36,1,,DNB,-,-,-,-,2,4,4,0,4,0,v West Indies,Chattogram,2021-01-25,BAN
8488,Mehidy Hasan Miraz,DNB,-,-,-,-,-,1,,10.0,2,18,2,1.80,2,0,0,0,0,0,v West Indies,Chattogram,2021-01-25,BAN
3498,Gulbadin Naib,DNB,-,-,-,-,-,2,,9.0,0,64,1,7.11,1,3,3,0,0,3,v Ireland,Abu Dhabi,2021-01-24,AFG
5798,Javed Ahmadi,16,30,24,2,0,66.66,2,,1.0,0,9,0,9.00,1,0,0,0,0,0,v Ireland,Abu Dhabi,2021-01-24,AFG
9702,Najibullah Zadran,DNB,-,-,-,-,-,2,,DNB,-,-,-,-,1,0,0,0,0,0,v Ireland,Abu Dhabi,2021-01-24,AFG
4194,Hashmatullah Shahidi,82,138,100,8,1,82.00,2,,DNB,-,-,-,-,1,1,1,0,0,1,v Ireland,Abu Dhabi,2021-01-24,AFG
10919,Rashid Khan,DNB,-,-,-,-,-,2,,10.0,1,49,1,4.90,1,1,1,0,0,1,v Ireland,Abu Dhabi,2021-01-24,AFG
10749,Rahmanullah Gurbaz,31,34,26,3,2,119.23,2,,DNB,-,-,-,-,1,1,1,0,1,0,v Ireland,Abu Dhabi,2021-01-24,AFG
8750,Mohammad Nabi,DNB,-,-,-,-,-,2,,10.0,0,43,0,4.30,1,1,1,0,0,1,v Ireland,Abu Dhabi,2021-01-24,AFG
9268,Mujeeb Ur Rahman,DNB,-,-,-,-,-,2,,10.0,0,46,3,4.60,1,0,0,0,0,0,v Ireland,Abu Dhabi,2021-01-24,AFG
1247,Asghar Afghan,21*,14,13,1,2,161.53,2,,DNB,-,-,-,-,1,0,0,0,0,0,v Ireland,Abu Dhabi,2021-01-24,AFG
10807,Rahmat Shah,103*,156,109,10,2,94.49,2,,DNB,-,-,-,-,1,0,0,0,0,0,v Ireland,Abu Dhabi,2021-01-24,AFG
9911,Naveen-ul-Haq,DNB,-,-,-,-,-,2,,10.0,0,42,4,4.20,1,0,0,0,0,0,v Ireland,Abu Dhabi,2021-01-24,AFG
6976,Litton Das,22,26,24,4,0,91.66,2,,DNB,-,-,-,-,1,1,1,0,0,1,v West Indies,Mirpur,2021-01-22,BAN
9551,Mustafizur Rahman,DNB,-,-,-,-,-,2,,8.0,3,15,2,1.87,1,0,0,0,0,0,v West Indies,Mirpur,2021-01-22,BAN
9803,Najmul Hossain Shanto,17,40,26,2,0,65.38,2,,DNB,-,-,-,-,1,0,0,0,0,0,v West Indies,Mirpur,2021-01-22,BAN
11076,Rubel Hossain,DNB,-,-,-,-,-,2,,7.0,0,23,0,3.28,1,0,0,0,0,0,v West Indies,Mirpur,2021-01-22,BAN
8306,Mahmudullah,DNB,-,-,-,-,-,2,,DNB,-,-,-,-,1,0,0,0,0,0,v West Indies,Mirpur,2021-01-22,BAN
9444,Mushfiqur Rahim,9*,38,25,0,0,36.00,2,,DNB,-,-,-,-,1,1,0,1,0,0,v West Indies,Mirpur,2021-01-22,BAN
13220,Tamim Iqbal,50,100,76,3,1,65.78,2,,DNB,-,-,-,-,1,1,1,0,0,1,v West Indies,Mirpur,2021-01-22,BAN
12209,Shakib Al Hasan,43*,69,50,4,0,86.00,2,,10.0,0,30,2,3.00,1,0,0,0,0,0,v West Indies,Mirpur,2021-01-22,BAN
8494,Mehidy Hasan Miraz,DNB,-,-,-,-,-,2,,9.4,0,25,4,2.58,1,1,1,0,0,1,v West Indies,Mirpur,2021-01-22,BAN
4166,Hasan Mahmud,DNB,-,-,-,-,-,2,,9.0,0,54,1,6.00,1,0,0,0,0,0,v West Indies,Mirpur,2021-01-22,BAN
12527,Soumya Sarkar,DNB,-,-,-,-,-,2,,DNB,-,-,-,-,1,0,0,0,0,0,v West Indies,Mirpur,2021-01-22,BAN
10806,Rahmat Shah,3,12,9,0,0,33.33,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Ireland,Abu Dhabi,2021-01-21,AFG
9267,Mujeeb Ur Rahman,1*,12,2,0,0,50.00,1,,10.0,0,40,2,4.00,2,0,0,0,0,0,v Ireland,Abu Dhabi,2021-01-21,AFG
9701,Najibullah Zadran,29,74,43,1,1,67.44,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Ireland,Abu Dhabi,2021-01-21,AFG
3497,Gulbadin Naib,2,10,12,0,0,16.66,1,,7.0,0,36,1,5.14,2,1,1,0,0,1,v Ireland,Abu Dhabi,2021-01-21,AFG
10918,Rashid Khan,55,40,30,2,5,183.33,1,,10.0,0,56,2,5.60,2,2,2,0,0,2,v Ireland,Abu Dhabi,2021-01-21,AFG
10748,Rahmanullah Gurbaz,127,154,127,8,9,100.00,1,,DNB,-,-,-,-,2,2,0,2,0,0,v Ireland,Abu Dhabi,2021-01-21,AFG
1246,Asghar Afghan,6,7,4,1,0,150.00,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Ireland,Abu Dhabi,2021-01-21,AFG
1391,Azmatullah Omarzai,2,18,10,0,0,20.00,1,,4.0,0,24,0,6.00,2,1,1,0,0,1,v Ireland,Abu Dhabi,2021-01-21,AFG
5797,Javed Ahmadi,38,85,55,2,2,69.09,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Ireland,Abu Dhabi,2021-01-21,AFG
8749,Mohammad Nabi,3,11,7,0,0,42.85,1,,10.0,0,45,1,4.50,2,0,0,0,0,0,v Ireland,Abu Dhabi,2021-01-21,AFG
9910,Naveen-ul-Haq,2*,1,1,0,0,200.00,1,,9.0,0,68,3,7.55,2,0,0,0,0,0,v Ireland,Abu Dhabi,2021-01-21,AFG
9802,Najmul Hossain Shanto,1,12,9,0,0,11.11,2,,DNB,-,-,-,-,1,0,0,0,0,0,v West Indies,Mirpur,2021-01-20,BAN
12526,Soumya Sarkar,DNB,-,-,-,-,-,2,,DNB,-,-,-,-,1,0,0,0,0,0,v West Indies,Mirpur,2021-01-20,BAN
8493,Mehidy Hasan Miraz,DNB,-,-,-,-,-,2,,7.0,1,29,1,4.14,1,0,0,0,0,0,v West Indies,Mirpur,2021-01-20,BAN
12208,Shakib Al Hasan,19,41,43,1,0,44.18,2,,7.2,2,8,4,1.09,1,0,0,0,0,0,v West Indies,Mirpur,2021-01-20,BAN
6975,Litton Das,14,57,38,2,0,36.84,2,,DNB,-,-,-,-,1,3,3,0,0,3,v West Indies,Mirpur,2021-01-20,BAN
9443,Mushfiqur Rahim,19*,38,31,1,0,61.29,2,,DNB,-,-,-,-,1,2,1,1,1,0,v West Indies,Mirpur,2021-01-20,BAN
13219,Tamim Iqbal,44,92,69,7,0,63.76,2,,DNB,-,-,-,-,1,0,0,0,0,0,v West Indies,Mirpur,2021-01-20,BAN
4165,Hasan Mahmud,DNB,-,-,-,-,-,2,,6.0,1,28,3,4.66,1,0,0,0,0,0,v West Indies,Mirpur,2021-01-20,BAN
8305,Mahmudullah,9*,18,16,1,0,56.25,2,,DNB,-,-,-,-,1,0,0,0,0,0,v West Indies,Mirpur,2021-01-20,BAN
9550,Mustafizur Rahman,DNB,-,-,-,-,-,2,,6.0,0,20,2,3.33,1,0,0,0,0,0,v West Indies,Mirpur,2021-01-20,BAN
11075,Rubel Hossain,DNB,-,-,-,-,-,2,,6.0,0,34,0,5.66,1,0,0,0,0,0,v West Indies,Mirpur,2021-01-20,BAN
5126,JJ Bumrah,DNB,-,-,-,-,-,1,,9.3,0,43,2,4.52,2,0,0,0,0,0,v Australia,Canberra,2020-12-02,IND
211,AC Agar,28,-,28,2,0,100.00,2,,10.0,0,44,2,4.40,1,1,1,0,0,1,v India,Canberra,2020-12-02,AUS
3722,HH Pandya,92*,-,76,7,1,121.05,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Australia,Canberra,2020-12-02,IND
12591,T Natarajan,DNB,-,-,-,-,-,1,,10.0,1,70,2,7.00,2,0,0,0,0,0,v Australia,Canberra,2020-12-02,IND
12389,Shubman Gill,33,-,39,3,1,84.61,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Australia,Canberra,2020-12-02,IND
1869,C Green,21,-,27,1,1,77.77,2,,4.0,0,27,0,6.75,1,0,0,0,0,0,v India,Canberra,2020-12-02,AUS
58,A Zampa,4,-,7,0,0,57.14,2,,10.0,0,45,1,4.50,1,0,0,0,0,0,v India,Canberra,2020-12-02,AUS
6102,KL Rahul,5,-,11,0,0,45.45,1,,DNB,-,-,-,-,2,2,2,0,2,0,v Australia,Canberra,2020-12-02,IND
11577,SS Iyer,19,-,21,2,0,90.47,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Australia,Canberra,2020-12-02,IND
11478,SPD Smith,7,-,15,0,0,46.66,2,,DNB,-,-,-,-,1,0,0,0,0,0,v India,Canberra,2020-12-02,AUS
3403,GJ Maxwell,59,-,38,3,4,155.26,2,,5.0,0,27,0,5.40,1,0,0,0,0,0,v India,Canberra,2020-12-02,AUS
13542,V Kohli,63,-,78,5,0,80.76,1,,DNB,-,-,-,-,2,0,0,0,0,0,v Australia,Canberra,2020-12-02,IND
5657,JR Hazlewood,7*,-,7,0,0,100.00,2,,10.0,1,66,1,6.60,1,0,0,0,0,0,v India,Canberra,2020-12-02,AUS
10353,RA Jadeja,66*,-,50,5,3,132.00,1,,10.0,0,62,1,6.20,2,1,1,0,0,1,v Australia,Canberra,2020-12-02,IND
11400,SN Thakur,DNB,-,-,-,-,-,1,,10.0,1,51,3,5.10,2,0,0,0,0,0,v Australia,Canberra,2020-12-02,IND
