Player,Overs,Mdns,Runs,Wkts,Econ,Inns,,Opposition,Ground,Start Date,
CJ Dala (SA),8.0,0,64,0,8.00,1,,v Sri Lanka,Pallekele,8 Aug 2018,
Aftab Alam (AFG),9.3,1,64,0,6.73,2,,v Pakistan,Abu Dhabi,21 Sep 2018,
UT Yadav (IND),10.0,0,64,0,6.40,1,,v West Indies,Guwahati,21 Oct 2018,
Faheem Ashraf (PAK),10.0,0,64,0,6.40,1,,v South Africa,Gqeberha,19 Jan 2019,
RA Jadeja (IND),10.0,0,64,0,6.40,1,,v Australia,Ranchi,8 Mar 2019,
Dawlat Zadran (AFG),10.0,0,64,0,6.40,1,,v Scotland,Edinburgh,10 May 2019,
PJ Cummins (AUS),7.0,0,64,0,9.14,2,,v India,Bengaluru,19 Jan 2020,
RA Jadeja (IND),10.0,0,64,0,6.40,2,,v New Zealand,Hamilton,5 Feb 2020,
JJ Bumrah (IND),10.0,0,64,0,6.40,1,,v New Zealand,Auckland,8 Feb 2020,
Shadab Khan (PAK),9.0,0,64,0,7.11,1,,v South Africa,Johannesburg,4 Apr 2021,
A Nortje (SA),10.0,0,64,0,6.40,1,,v Ireland,Dublin (Malahide),13 Jul 2021,
C Overton (ENG),10.0,0,64,0,6.40,1,,v Pakistan,Birmingham,13 Jul 2021,
B Kumar (IND),10.0,0,64,0,6.40,1,,v South Africa,Paarl,19 Jan 2022,
MJ Santner (NZ),10.0,0,64,0,6.40,1,,v Pakistan,Karachi,13 Jan 2023,
JDS Neesham (NZ),9.0,0,64,0,7.11,2,,v Pakistan,Rawalpindi,29 Apr 2023,
Mrittunjoy Chowdhury (BAN),8.0,0,64,0,8.00,2,,v Ireland,Chelmsford,14 May 2023,
Mujeeb Ur Rahman (AFG),8.0,0,64,0,8.00,2,,v India,Delhi,11 Oct 2023,
TG Southee (NZ),8.0,0,65,0,8.12,2,,v Australia,Melbourne,29 Mar 2015,
IS Sodhi (NZ),10.0,1,65,0,6.50,2,,v Zimbabwe,Harare,2 Aug 2015,
MA Wood (ENG),9.0,0,65,0,7.22,1,,v Australia,Leeds,11 Sep 2015,
B Kumar (IND),10.0,1,65,0,6.50,1,,v South Africa,Rajkot,18 Oct 2015,
DW Steyn (SA),10.0,0,65,0,6.50,2,,v India,Rajkot,18 Oct 2015,
AR Patel (IND),8.0,0,65,0,8.12,1,,v South Africa,Wankhede,25 Oct 2015,
CR Woakes (ENG),9.0,0,65,0,7.22,1,,v Sri Lanka,The Oval,29 Jun 2016,
LE Plunkett (ENG),8.0,0,65,0,8.12,1,,v Sri Lanka,The Oval,29 Jun 2016,
MM Ali (ENG),10.0,0,65,0,6.50,2,,v West Indies,Bristol,24 Sep 2017,
Shakib Al Hasan (BAN),9.0,0,65,0,7.22,1,,v Ireland,Dublin,15 May 2019,
PJ Cummins (AUS),10.0,1,65,0,6.50,2,,v Bangladesh,Nottingham,20 Jun 2019,
K Rabada (SA),10.0,0,65,0,6.50,1,,v Pakistan,Lord's,23 Jun 2019,
L Ngidi (SA),10.0,1,65,0,6.50,2,,v Pakistan,Centurion,2 Apr 2021,
JDS Neesham (NZ),8.0,0,65,0,8.12,1,,v Australia,Cairns,11 Sep 2022,
LH Ferguson (NZ),8.0,0,65,0,8.12,1,,v India,Wankhede,15 Nov 2023,
BV Sears (NZ),10.0,0,65,0,6.50,1,,v South Africa,Lahore,10 Feb 2025,
NL McCullum (NZ),7.0,0,66,0,9.42,1,,v England,Birmingham,9 Jun 2015,
Imran Tahir (SA),10.0,0,66,0,6.60,2,,v England,Gqeberha,6 Feb 2016,
MR Marsh (AUS),8.0,0,66,0,8.25,2,,v South Africa,Centurion,30 Sep 2016,
CR Woakes (ENG),8.0,0,66,0,8.25,1,,v Bangladesh,Chattogram,12 Oct 2016,
SHA Rance (NZ),9.0,0,66,0,7.33,1,,v Bangladesh,Dublin,17 May 2017,
CH Morris (SA),10.0,0,66,0,6.60,1,,v England,Southampton,27 May 2017,
Imad Wasim (PAK),9.1,0,66,0,7.20,1,,v India,Birmingham,4 Jun 2017,
AR Patel (IND),10.0,0,66,0,6.60,1,,v Australia,Bengaluru,28 Sep 2017,
MM Ali (ENG),10.0,0,66,0,6.60,1,,v Scotland,Edinburgh,10 Jun 2018,
Kuldeep Yadav (IND),10.0,0,66,0,6.60,1,,v Australia,Adelaide,15 Jan 2019,
Hasan Ali (PAK),10.0,0,66,0,6.60,2,,v England,Nottingham,3 Jun 2019,
MA Starc (AUS),9.0,0,66,0,7.33,2,,v India,Bengaluru,19 Jan 2020,
AU Rashid (ENG),9.0,0,66,0,7.33,1,,v India,Pune,23 Mar 2021,
SM Curran (ENG),9.0,1,66,0,7.33,1,,v Australia,Melbourne,22 Nov 2022,
Usama Mir (PAK),10.0,0,66,0,6.60,1,,v New Zealand,Rawalpindi,29 Apr 2023,
Rashid Khan (AFG),10.0,1,66,0,6.60,1,,v Bangladesh,Lahore,3 Sep 2023,
NG Smith (NZ),8.0,1,66,0,8.25,1,,v Sri Lanka,Dambulla,13 Nov 2024,
Khushdil Shah (PAK),9.0,0,66,0,7.33,1,,v New Zealand,Lahore,8 Feb 2025,
SCJ Broad (ENG),10.0,1,67,0,6.70,2,,v Sri Lanka,Wellington,1 Mar 2015,
MJ McClenaghan (NZ),8.0,0,67,0,8.37,1,,v England,Southampton,14 Jun 2015,
B Kumar (IND),10.0,0,67,0,6.70,1,,v South Africa,Kanpur,11 Oct 2015,
Wahab Riaz (PAK),10.0,0,67,0,6.70,1,,v New Zealand,Wellington,25 Jan 2016,
UT Yadav (IND),9.4,0,67,0,6.93,2,,v Sri Lanka,The Oval,8 Jun 2017,
RA Jadeja (IND),8.0,0,67,0,8.37,1,,v Pakistan,The Oval,18 Jun 2017,
Mashrafe Mortaza (BAN),8.0,0,67,0,8.37,1,,v Afghanistan,Abu Dhabi,20 Sep 2018,
PJ Cummins (AUS),10.0,2,67,0,6.70,1,,v South Africa,Hobart,11 Nov 2018,
CR Woakes (ENG),8.0,0,67,0,8.37,2,,v Bangladesh,Cardiff,8 Jun 2019,
TA Boult (NZ),10.0,0,67,0,6.70,2,,v England,Lord's,14 Jul 2019,
Kuldeep Yadav (IND),10.0,0,67,0,6.70,1,,v West Indies,Cuttack,22 Dec 2019,
TK Curran (ENG),10.0,0,67,0,6.70,2,,v Ireland,Southampton,4 Aug 2020,
Taskin Ahmed (BAN),10.0,0,67,0,6.70,2,,v New Zealand,Christchurch,23 Mar 2021,
B Kumar (IND),8.0,0,67,0,8.37,2,,v South Africa,Paarl,21 Jan 2022,
YS Chahal (IND),10.0,0,67,0,6.70,2,,v New Zealand,Auckland,25 Nov 2022,
MA Starc (AUS),10.0,0,67,0,6.70,2,,v India,Chennai,22 Mar 2023,
Mehidy Hasan Miraz (BAN),10.0,0,67,0,6.70,2,,v West Indies,Basseterre,12 Dec 2024,
MG Johnson (AUS),6.0,1,68,0,11.33,2,,v New Zealand,Auckland,28 Feb 2015,
MJ McClenaghan (NZ),8.0,0,68,0,8.50,1,,v Bangladesh,Hamilton,13 Mar 2015,
Mohammed Shami (IND),10.0,0,68,0,6.80,1,,v Australia,Sydney,26 Mar 2015,
TG Southee (NZ),9.0,0,68,0,7.55,2,,v England,The Oval,12 Jun 2015,
Rashid Khan (AFG),10.0,0,68,0,6.80,1,,v Ireland,Belfast,19 Jul 2016,
Imran Tahir (SA),9.0,0,68,0,7.55,1,,v England,Leeds,24 May 2017,
JJ Bumrah (IND),9.0,0,68,0,7.55,1,,v Pakistan,The Oval,18 Jun 2017,
JT Ball (ENG),10.0,0,68,0,6.80,1,,v West Indies,The Oval,27 Sep 2017,
HH Pandya (IND),10.0,0,68,0,6.80,2,,v Australia,The Oval,9 Jun 2019,
S Dube (IND),7.5,0,68,0,8.68,2,,v West Indies,Chennai,15 Dec 2019,
NA Saini (IND),8.0,0,68,0,8.50,2,,v New Zealand,Mount Maunganui,11 Feb 2020,
JR Hazlewood (AUS),10.0,0,68,0,6.80,1,,v England,Manchester,16 Sep 2020,
Kuldeep Yadav (IND),9.0,0,68,0,7.55,2,,v England,Pune,23 Mar 2021,
R Ashwin (IND),10.0,1,68,0,6.80,2,,v South Africa,Paarl,21 Jan 2022,
Hasan Ali (PAK),10.0,0,68,0,6.80,1,,v West Indies,Multan,8 Jun 2022,
Arshdeep Singh (IND),8.1,0,68,0,8.32,2,,v New Zealand,Auckland,25 Nov 2022,
Shaheen Shah Afridi (PAK),10.0,0,68,0,6.80,1,,v New Zealand,Karachi,19 Feb 2025,
B Kumar (IND),8.0,0,69,0,8.62,1,,v Australia,Canberra,20 Jan 2016,
Imad Wasim (PAK),9.0,0,69,0,7.66,1,,v Australia,Sydney,22 Jan 2017,
D Paterson (SA),9.0,0,69,0,7.66,1,,v Bangladesh,Kimberley,15 Oct 2017,
Mashrafe Mortaza (BAN),9.0,0,69,0,7.66,1,,v South Africa,East London,22 Oct 2017,
Faheem Ashraf (PAK),10.0,0,69,0,6.90,1,,v England,Southampton,11 May 2019,
A Nortje (SA),10.0,0,69,0,6.90,1,,v Sri Lanka,Colombo (RPS),2 Sep 2021,
KA Jamieson (NZ),8.0,1,69,0,8.62,1,,v England,The Oval,13 Sep 2023,
Fazalhaq Farooqi (AFG),7.0,0,69,0,9.85,1,,v Bangladesh,Sharjah,9 Nov 2024,
Yasir Shah (PAK),9.0,0,70,0,7.77,1,,v England,Abu Dhabi,13 Nov 2015,
Wahab Riaz (PAK),9.0,0,70,0,7.77,1,,v England,Dubai (DICS),20 Nov 2015,
Mohammad Nabi (AFG),9.0,1,70,0,7.77,2,,v Ireland,Greater Noida,17 Mar 2017,
R Ashwin (IND),10.0,0,70,0,7.00,1,,v Pakistan,The Oval,18 Jun 2017,
MM Ali (ENG),9.0,1,70,0,7.77,1,,v West Indies,The Oval,27 Sep 2017,
NM Coulter-Nile (AUS),10.0,0,70,0,7.00,2,,v West Indies,Nottingham,6 Jun 2019,
Mohammad Nabi (AFG),9.0,0,70,0,7.77,1,,v England,Manchester,18 Jun 2019,
NA Saini (IND),7.0,0,70,0,10.00,1,,v Australia,Sydney,29 Nov 2020,
Fazalhaq Farooqi (AFG),9.4,0,70,0,7.24,2,,v Sri Lanka,Pallekele,30 Nov 2022,
Mujeeb Ur Rahman (AFG),10.0,0,70,0,7.00,2,,v Sri Lanka,Pallekele,30 Nov 2022,
Mustafizur Rahman (BAN),10.0,0,70,0,7.00,1,,v England,Dharamsala,10 Oct 2023,
MA Starc (AUS),8.0,0,70,0,8.75,1,,v England,Lord's,27 Sep 2024,
L Ngidi (SA),9.0,0,70,0,7.77,1,,v Ireland,Abu Dhabi,7 Oct 2024,
Naseem Shah (PAK),10.0,0,70,0,7.00,1,,v New Zealand,Lahore,8 Feb 2025,
RA Jadeja (IND),10.0,0,71,0,7.10,1,,v Zimbabwe,Auckland,14 Mar 2015,
Anwar Ali (PAK),9.0,0,71,0,7.88,1,,v Sri Lanka,Hambantota,26 Jul 2015,
Taskin Ahmed (BAN),9.0,0,71,0,7.88,1,,v South Africa,Paarl,18 Oct 2017,
Shapoor Zadran (AFG),7.0,0,71,0,10.14,2,,v Ireland,Sharjah,10 Dec 2017,
AL Phehlukwayo (SA),10.0,0,71,0,7.10,1,,v Pakistan,Centurion,25 Jan 2019,
Mohammad Abbas (PAK),10.0,0,71,0,7.10,1,,v Australia,Dubai (DICS),31 Mar 2019,
Shakib Al Hasan (BAN),10.0,0,71,0,7.10,1,,v England,Cardiff,8 Jun 2019,
YS Chahal (IND),9.0,0,71,0,7.88,1,,v Australia,Sydney,29 Nov 2020,
CR Woakes (ENG),9.2,0,72,0,7.71,2,,v Sri Lanka,Wellington,1 Mar 2015,
AU Rashid (ENG),10.0,0,72,0,7.20,1,,v New Zealand,The Oval,12 Jun 2015,
Mohammad Amir (PAK),10.0,0,72,0,7.20,1,,v England,Nottingham,30 Aug 2016,
A Zampa (AUS),10.0,0,72,0,7.20,2,,v England,Melbourne,14 Jan 2018,
DJ Willey (ENG),10.0,0,72,0,7.20,1,,v Scotland,Edinburgh,10 Jun 2018,
T Shamsi (SA),10.0,0,72,0,7.20,1,,v Zimbabwe,Paarl,6 Oct 2018,
KH Pandya (IND),6.0,0,72,0,12.00,2,,v England,Pune,26 Mar 2021,
SN Thakur (IND),10.0,1,72,0,7.20,1,,v South Africa,Paarl,19 Jan 2022,
Mujeeb Ur Rahman (AFG),8.5,1,72,0,8.15,2,,v Australia,Wankhede,7 Nov 2023,
Mohammad Hasnain (PAK),8.0,0,72,0,9.00,1,,v South Africa,Karachi,12 Feb 2025,
MJ Henry (NZ),10.0,0,73,0,7.30,1,,v England,Birmingham,9 Jun 2015,
Mohammad Irfan (PAK),10.0,1,73,0,7.30,1,,v Sri Lanka,Hambantota,26 Jul 2015,
Yasir Shah (PAK),8.0,0,73,0,9.12,1,,v Sri Lanka,Hambantota,26 Jul 2015,
JL Pattinson (AUS),9.0,0,73,0,8.11,2,,v England,Leeds,11 Sep 2015,
TA Boult (NZ),10.0,0,73,0,7.30,2,,v India,Mohali,23 Oct 2016,
Gulbadin Naib (AFG),9.4,0,73,0,7.55,2,,v Pakistan,Leeds,29 Jun 2019,
MA Wood (ENG),10.0,0,73,0,7.30,2,,v India,Birmingham,30 Jun 2019,
JDS Neesham (NZ),9.0,0,73,0,8.11,1,,v Bangladesh,Christchurch,23 Mar 2021,
HB Shipley (NZ),10.0,0,73,0,7.30,1,,v Pakistan,Karachi,3 May 2023,
G Coetzee (SA),8.0,0,73,0,9.12,2,,v Australia,Centurion,15 Sep 2023,
Saeed Ajmal (PAK),10.0,0,74,0,7.40,1,,v Bangladesh,Mirpur,17 Apr 2015,
SM Boland (AUS),10.0,0,74,0,7.40,1,,v India,W.A.C.A,12 Jan 2016,
AU Rashid (ENG),10.0,0,74,0,7.40,2,,v New Zealand,Dunedin,7 Mar 2018,
B Stanlake (AUS),8.0,0,74,0,9.25,1,,v England,Nottingham,19 Jun 2018,
MG Neser (AUS),8.4,0,74,0,8.53,2,,v England,Chester-le-Street,21 Jun 2018,
SA Abbott (AUS),9.0,0,74,0,8.22,2,,v Pakistan,Lahore,31 Mar 2022,
RJW Topley (ENG),9.0,0,74,0,8.22,2,,v South Africa,Bloemfontein,29 Jan 2023,
BM Tickner (NZ),8.0,0,74,0,9.25,1,,v Pakistan,Karachi,5 May 2023,
Faheem Ashraf (PAK),10.0,0,74,0,7.40,1,,v India,Colombo (RPS),10 Sep 2023,
JR Hazlewood (AUS),9.0,0,74,0,8.22,1,,v South Africa,Potchefstroom,12 Sep 2023,
BM Wheeler (NZ),8.0,1,75,0,9.37,2,,v England,Nottingham,17 Jun 2015,
Rubel Hossain (BAN),9.0,0,75,0,8.33,1,,v India,Mirpur,24 Jun 2015,
Anwar Ali (PAK),9.0,0,75,0,8.33,1,,v England,Dubai (DICS),20 Nov 2015,
R Ravindra (NZ),10.0,0,75,0,7.50,2,,v Pakistan,Rawalpindi,29 Apr 2023,
Mohammed Siraj (IND),10.0,0,76,0,7.60,1,,v Australia,Adelaide,15 Jan 2019,
L Ngidi (SA),10.0,0,76,0,7.60,1,,v West Indies,East London,18 Mar 2023,
Mohammed Siraj (IND),9.0,0,76,0,8.44,1,,v Afghanistan,Delhi,11 Oct 2023,
MA Wood (ENG),7.0,0,76,0,10.85,1,,v South Africa,Wankhede,21 Oct 2023,
Mustafizur Rahman (BAN),9.0,0,76,0,8.44,1,,v South Africa,Wankhede,24 Oct 2023,
HK Bennett (NZ),10.0,0,77,0,7.70,1,,v India,Hamilton,5 Feb 2020,
Shoriful Islam (BAN),9.0,0,77,0,8.55,2,,v Zimbabwe,Harare,7 Aug 2022,
Fazalhaq Farooqi (AFG),9.0,0,77,0,8.55,1,,v Sri Lanka,Pallekele,9 Feb 2024,
A Mishra (IND),10.0,0,78,0,7.80,1,,v South Africa,Wankhede,25 Oct 2015,
DJ Worrall (AUS),9.0,0,78,0,8.66,2,,v South Africa,Durban,5 Oct 2016,
Shadab Khan (PAK),10.0,0,78,0,7.80,2,,v South Africa,Cape Town,30 Jan 2019,
MA Starc (AUS),10.0,0,78,0,7.80,1,,v India,Rajkot,17 Jan 2020,
Shaheen Shah Afridi (PAK),10.0,0,78,0,7.80,2,,v England,Birmingham,13 Jul 2021,
AK Markram (SA),10.0,0,78,0,7.80,1,,v Australia,Bloemfontein,9 Sep 2023,
SN Thakur (IND),10.0,0,78,0,7.80,1,,v Australia,Mohali,22 Sep 2023,
BA Stokes (ENG),9.0,0,79,0,8.77,1,,v India,Cuttack,19 Jan 2017,
JC Archer (ENG),10.0,0,79,0,7.90,1,,v Pakistan,Nottingham,3 Jun 2019,
JT Ball (ENG),10.0,0,80,0,8.00,1,,v India,Cuttack,19 Jan 2017,
Muhammad Musa (PAK),10.0,0,80,0,8.00,1,,v Zimbabwe,Rawalpindi,3 Nov 2020,
JT Ball (ENG),10.0,0,81,0,8.10,2,,v South Africa,Southampton,27 May 2017,
TA Boult (NZ),10.0,0,81,0,8.10,1,,v India,Kanpur,29 Oct 2017,
Taskin Ahmed (BAN),10.0,1,82,0,8.20,1,,v Sri Lanka,Melbourne,26 Feb 2015,
JM Mennie (AUS),10.0,0,82,0,8.20,1,,v South Africa,Johannesburg,2 Oct 2016,
Junaid Khan (PAK),10.0,0,82,0,8.20,1,,v Australia,Sydney,22 Jan 2017,
Mashrafe Mortaza (BAN),10.0,0,82,0,8.20,1,,v South Africa,Paarl,18 Oct 2017,
MA Starc (AUS),9.0,0,82,0,9.11,2,,v India,Sydney,29 Nov 2020,
Shaheen Shah Afridi (PAK),10.0,0,83,0,8.30,2,,v England,Bristol,14 May 2019,
Rubel Hossain (BAN),9.0,0,83,0,9.22,1,,v Australia,Nottingham,20 Jun 2019,
Mohammad Nabi (AFG),10.0,0,84,0,8.40,1,,v Australia,W.A.C.A,4 Mar 2015,
Kuldeep Yadav (IND),10.0,0,84,0,8.40,2,,v England,Pune,26 Mar 2021,
MP Stoinis (AUS),8.0,0,85,0,10.62,1,,v England,Nottingham,19 Jun 2018,
MM Ali (ENG),10.0,0,85,0,8.50,1,,v West Indies,Bridgetown,20 Feb 2019,
Nasum Ahmed (BAN),10.0,0,85,0,8.50,2,,v Australia,Pune,11 Nov 2023,
Wahab Riaz (PAK),8.4,0,87,0,10.03,1,,v India,Birmingham,4 Jun 2017,
YS Chahal (IND),10.0,0,88,0,8.80,1,,v England,Birmingham,30 Jun 2019,
MA Starc (AUS),9.0,0,89,0,9.88,2,,v New Zealand,Dharamsala,28 Oct 2023,
Shaheen Shah Afridi (PAK),10.0,0,90,0,9.00,1,,v New Zealand,Bengaluru,4 Nov 2023,
MJ Henry (NZ),10.0,0,91,0,9.10,1,,v Australia,Canberra,6 Dec 2016,
CR Woakes (ENG),10.0,0,91,0,9.10,2,,v West Indies,St George's,27 Feb 2019,
Dawlat Zadran (AFG),9.0,0,96,0,10.66,1,,v Zimbabwe,Sharjah,11 Feb 2018,
SM Curran (ENG),9.5,0,98,0,9.96,2,,v West Indies,North Sound,3 Dec 2023,
AJ Tye (AUS),9.0,0,100,0,11.11,1,,v England,Nottingham,19 Jun 2018,
Wahab Riaz (PAK),10.0,0,110,0,11.00,1,,v England,Nottingham,30 Aug 2016,
Rashid Khan (AFG),9.0,0,110,0,12.22,1,,v England,Manchester,18 Jun 2019,
A Zampa (AUS),10.0,0,113,0,11.30,1,,v South Africa,Centurion,15 Sep 2023,
BB McCullum (NZ),DNB,-,-,-,-,1,,v Scotland,Dunedin,17 Feb 2015,
MJ Guptill (NZ),DNB,-,-,-,-,1,,v Scotland,Dunedin,17 Feb 2015,
L Ronchi (NZ),DNB,-,-,-,-,1,,v Scotland,Dunedin,17 Feb 2015,
KS Williamson (NZ),DNB,-,-,-,-,1,,v Scotland,Dunedin,17 Feb 2015,
LRPL Taylor (NZ),DNB,-,-,-,-,1,,v Scotland,Dunedin,17 Feb 2015,
Nawroz Mangal (AFG),DNB,-,-,-,-,1,,v Bangladesh,Canberra,18 Feb 2015,
Najibullah Zadran (AFG),DNB,-,-,-,-,1,,v Bangladesh,Canberra,18 Feb 2015,
Afsar Zazai (AFG),DNB,-,-,-,-,1,,v Bangladesh,Canberra,18 Feb 2015,
Asghar Afghan (AFG),DNB,-,-,-,-,1,,v Bangladesh,Canberra,18 Feb 2015,
Mominul Haque (BAN),DNB,-,-,-,-,2,,v Afghanistan,Canberra,18 Feb 2015,
Anamul Haque (BAN),DNB,-,-,-,-,2,,v Afghanistan,Canberra,18 Feb 2015,
Tamim Iqbal (BAN),DNB,-,-,-,-,2,,v Afghanistan,Canberra,18 Feb 2015,
Mushfiqur Rahim (BAN),DNB,-,-,-,-,2,,v Afghanistan,Canberra,18 Feb 2015,
LRPL Taylor (NZ),DNB,-,-,-,-,1,,v England,Wellington,20 Feb 2015,
BB McCullum (NZ),DNB,-,-,-,-,1,,v England,Wellington,20 Feb 2015,
MJ Guptill (NZ),DNB,-,-,-,-,1,,v England,Wellington,20 Feb 2015,
L Ronchi (NZ),DNB,-,-,-,-,1,,v England,Wellington,20 Feb 2015,
GD Elliott (NZ),DNB,-,-,-,-,1,,v England,Wellington,20 Feb 2015,
KS Williamson (NZ),DNB,-,-,-,-,1,,v England,Wellington,20 Feb 2015,
JWA Taylor (ENG),DNB,-,-,-,-,2,,v New Zealand,Wellington,20 Feb 2015,
GS Ballance (ENG),DNB,-,-,-,-,2,,v New Zealand,Wellington,20 Feb 2015,
MM Ali (ENG),DNB,-,-,-,-,2,,v New Zealand,Wellington,20 Feb 2015,
JE Root (ENG),DNB,-,-,-,-,2,,v New Zealand,Wellington,20 Feb 2015,
IR Bell (ENG),DNB,-,-,-,-,2,,v New Zealand,Wellington,20 Feb 2015,
EJG Morgan (ENG),DNB,-,-,-,-,2,,v New Zealand,Wellington,20 Feb 2015,
JC Buttler (ENG),DNB,-,-,-,-,2,,v New Zealand,Wellington,20 Feb 2015,
Misbah-ul-Haq (PAK),DNB,-,-,-,-,1,,v West Indies,Christchurch,21 Feb 2015,
Nasir Jamshed (PAK),DNB,-,-,-,-,1,,v West Indies,Christchurch,21 Feb 2015,
Younis Khan (PAK),DNB,-,-,-,-,1,,v West Indies,Christchurch,21 Feb 2015,
Umar Akmal (PAK),DNB,-,-,-,-,1,,v West Indies,Christchurch,21 Feb 2015,
Ahmed Shehzad (PAK),DNB,-,-,-,-,1,,v West Indies,Christchurch,21 Feb 2015,
Nawroz Mangal (AFG),DNB,-,-,-,-,2,,v Sri Lanka,Dunedin,22 Feb 2015,
Najibullah Zadran (AFG),DNB,-,-,-,-,2,,v Sri Lanka,Dunedin,22 Feb 2015,
Javed Ahmadi (AFG),DNB,-,-,-,-,2,,v Sri Lanka,Dunedin,22 Feb 2015,
Afsar Zazai (AFG),DNB,-,-,-,-,2,,v Sri Lanka,Dunedin,22 Feb 2015,
AB de Villiers (SA),DNB,-,-,-,-,1,,v India,Melbourne,22 Feb 2015,
Q de Kock (SA),DNB,-,-,-,-,1,,v India,Melbourne,22 Feb 2015,
F du Plessis (SA),DNB,-,-,-,-,1,,v India,Melbourne,22 Feb 2015,
DA Miller (SA),DNB,-,-,-,-,1,,v India,Melbourne,22 Feb 2015,
HM Amla (SA),DNB,-,-,-,-,1,,v India,Melbourne,22 Feb 2015,
V Kohli (IND),DNB,-,-,-,-,2,,v South Africa,Melbourne,22 Feb 2015,
RG Sharma (IND),DNB,-,-,-,-,2,,v South Africa,Melbourne,22 Feb 2015,
MS Dhoni (IND),DNB,-,-,-,-,2,,v South Africa,Melbourne,22 Feb 2015,
AM Rahane (IND),DNB,-,-,-,-,2,,v South Africa,Melbourne,22 Feb 2015,
S Dhawan (IND),DNB,-,-,-,-,2,,v South Africa,Melbourne,22 Feb 2015,
GS Ballance (ENG),DNB,-,-,-,-,2,,v Scotland,Christchurch,23 Feb 2015,
IR Bell (ENG),DNB,-,-,-,-,2,,v Scotland,Christchurch,23 Feb 2015,
EJG Morgan (ENG),DNB,-,-,-,-,2,,v Scotland,Christchurch,23 Feb 2015,
JC Buttler (ENG),DNB,-,-,-,-,2,,v Scotland,Christchurch,23 Feb 2015,
JWA Taylor (ENG),DNB,-,-,-,-,2,,v Scotland,Christchurch,23 Feb 2015,
Samiullah Shinwari (AFG),DNB,-,-,-,-,1,,v Scotland,Dunedin,26 Feb 2015,
Nawroz Mangal (AFG),DNB,-,-,-,-,1,,v Scotland,Dunedin,26 Feb 2015,
Najibullah Zadran (AFG),DNB,-,-,-,-,1,,v Scotland,Dunedin,26 Feb 2015,
Afsar Zazai (AFG),DNB,-,-,-,-,1,,v Scotland,Dunedin,26 Feb 2015,
Asghar Afghan (AFG),DNB,-,-,-,-,1,,v Scotland,Dunedin,26 Feb 2015,
Soumya Sarkar (BAN),DNB,-,-,-,-,1,,v Sri Lanka,Melbourne,26 Feb 2015,
Mominul Haque (BAN),DNB,-,-,-,-,1,,v Sri Lanka,Melbourne,26 Feb 2015,
Anamul Haque (BAN),DNB,-,-,-,-,1,,v Sri Lanka,Melbourne,26 Feb 2015,
Tamim Iqbal (BAN),DNB,-,-,-,-,1,,v Sri Lanka,Melbourne,26 Feb 2015,
Mushfiqur Rahim (BAN),DNB,-,-,-,-,1,,v Sri Lanka,Melbourne,26 Feb 2015,
F Behardien (SA),DNB,-,-,-,-,2,,v West Indies,Sydney,27 Feb 2015,
DA Miller (SA),DNB,-,-,-,-,2,,v West Indies,Sydney,27 Feb 2015,
Q de Kock (SA),DNB,-,-,-,-,2,,v West Indies,Sydney,27 Feb 2015,
AB de Villiers (SA),DNB,-,-,-,-,2,,v West Indies,Sydney,27 Feb 2015,
RR Rossouw (SA),DNB,-,-,-,-,2,,v West Indies,Sydney,27 Feb 2015,
HM Amla (SA),DNB,-,-,-,-,2,,v West Indies,Sydney,27 Feb 2015,
MJ Guptill (NZ),DNB,-,-,-,-,1,,v Australia,Auckland,28 Feb 2015,
L Ronchi (NZ),DNB,-,-,-,-,1,,v Australia,Auckland,28 Feb 2015,
GD Elliott (NZ),DNB,-,-,-,-,1,,v Australia,Auckland,28 Feb 2015,
KS Williamson (NZ),DNB,-,-,-,-,1,,v Australia,Auckland,28 Feb 2015,
LRPL Taylor (NZ),DNB,-,-,-,-,1,,v Australia,Auckland,28 Feb 2015,
BB McCullum (NZ),DNB,-,-,-,-,1,,v Australia,Auckland,28 Feb 2015,
SR Watson (AUS),DNB,-,-,-,-,2,,v New Zealand,Auckland,28 Feb 2015,
BJ Haddin (AUS),DNB,-,-,-,-,2,,v New Zealand,Auckland,28 Feb 2015,
DA Warner (AUS),DNB,-,-,-,-,2,,v New Zealand,Auckland,28 Feb 2015,
MJ Clarke (AUS),DNB,-,-,-,-,2,,v New Zealand,Auckland,28 Feb 2015,
SPD Smith (AUS),DNB,-,-,-,-,2,,v New Zealand,Auckland,28 Feb 2015,
AJ Finch (AUS),DNB,-,-,-,-,2,,v New Zealand,Auckland,28 Feb 2015,
S Dhawan (IND),DNB,-,-,-,-,1,,v U.A.E.,W.A.C.A,28 Feb 2015,
V Kohli (IND),DNB,-,-,-,-,1,,v U.A.E.,W.A.C.A,28 Feb 2015,
RG Sharma (IND),DNB,-,-,-,-,1,,v U.A.E.,W.A.C.A,28 Feb 2015,
SK Raina (IND),DNB,-,-,-,-,1,,v U.A.E.,W.A.C.A,28 Feb 2015,
MS Dhoni (IND),DNB,-,-,-,-,1,,v U.A.E.,W.A.C.A,28 Feb 2015,
AM Rahane (IND),DNB,-,-,-,-,1,,v U.A.E.,W.A.C.A,28 Feb 2015,
JC Buttler (ENG),DNB,-,-,-,-,2,,v Sri Lanka,Wellington,1 Mar 2015,
JWA Taylor (ENG),DNB,-,-,-,-,2,,v Sri Lanka,Wellington,1 Mar 2015,
