Player,Overs,Mdns,Runs,Wkts,Econ,Inns,,Opposition,Ground,Start Date,
Dawlat Zadran (AFG),8.0,0,22,4,2.75,2,,v Zimbabwe,Bulawayo,24 Oct 2015,
JJ Bumrah (IND),10.0,1,22,4,2.20,1,,v Zimbabwe,Harare,15 Jun 2016,
AL Phehlukwayo (SA),9.5,2,22,4,2.23,1,,v Pakistan,Durban,22 Jan 2019,
TG Southee (NZ),7.0,1,22,4,3.14,2,,v West Indies,Bridgetown,19 Aug 2022,
Mohammed Shami (IND),7.0,2,22,4,3.14,2,,v England,Lucknow,29 Oct 2023,
Mustafizur Rahman (BAN),9.0,2,23,4,2.55,1,,v Ireland,Dublin (Malahide),19 May 2017,
Kuldeep Yadav (IND),9.0,1,23,4,2.55,2,,v South Africa,Cape Town,7 Feb 2018,
Mujeeb Ur Rahman (AFG),10.0,2,24,4,2.40,2,,v Ireland,Sharjah,5 Dec 2017,
PJ Cummins (AUS),10.0,2,24,4,2.40,1,,v England,Adelaide,26 Jan 2018,
HH Pandya (IND),7.0,3,24,4,3.42,1,,v England,Manchester,17 Jul 2022,
R Ashwin (IND),10.0,1,25,4,2.50,1,,v U.A.E.,W.A.C.A,28 Feb 2015,
Aftab Alam (AFG),8.0,2,25,4,3.12,2,,v Ireland,Dehradun,8 Mar 2019,
Mehidy Hasan Miraz (BAN),9.4,0,25,4,2.58,1,,v West Indies,Mirpur,22 Jan 2021,
Imran Tahir (SA),8.2,0,26,4,3.12,1,,v Sri Lanka,Sydney,18 Mar 2015,
Rashid Khan (AFG),5.4,0,26,4,4.58,2,,v Zimbabwe,Sharjah,9 Feb 2018,
JA Richardson (AUS),10.0,2,26,4,2.60,2,,v India,Sydney,12 Jan 2019,
Nangeyalia Kharote (AFG),6.2,0,26,4,4.10,2,,v South Africa,Sharjah,20 Sep 2024,
MG Bracewell (NZ),10.0,0,26,4,2.60,1,,v Bangladesh,Rawalpindi,24 Feb 2025,
MR Marsh (AUS),6.0,0,27,4,4.50,1,,v England,Manchester,13 Sep 2015,
Gulbadin Naib (AFG),6.0,0,27,4,4.50,1,,v Zimbabwe,Harare,21 Feb 2017,
Imran Tahir (SA),8.3,0,27,4,3.17,2,,v Sri Lanka,The Oval,3 Jun 2017,
TA Boult (NZ),8.5,0,27,4,3.05,1,,v Bangladesh,Dunedin,20 Mar 2021,
MJ Henry (NZ),10.0,2,27,4,2.70,2,,v Bangladesh,Wellington,26 Mar 2021,
Shadab Khan (PAK),6.4,0,27,4,4.05,2,,v Nepal,Multan,30 Aug 2023,
Avesh Khan (IND),8.0,3,27,4,3.37,1,,v South Africa,Johannesburg,17 Dec 2023,
JJ Bumrah (IND),9.5,2,28,4,2.84,1,,v Zimbabwe,Harare,11 Jun 2016,
Shadab Khan (PAK),8.4,0,28,4,3.23,2,,v Zimbabwe,Bulawayo,20 Jul 2018,
TM Head (AUS),6.2,0,28,4,4.42,1,,v England,Bristol,29 Sep 2024,
Yasir Shah (PAK),10.0,1,29,4,2.90,2,,v Sri Lanka,Colombo (RPS),19 Jul 2015,
