Player,Runs,Mins,BF,4s,6s,SR,Inns,,Opposition,Ground,Start Date,
F du Plessis (SA),133*,184,115,9,6,115.65,1,,v India,Wankhede,25 Oct 2015,
AD Hales (ENG),133*,135,110,10,6,120.90,2,,v Sri Lanka,Birmingham,24 Jun 2016,
JE Root (ENG),133*,202,129,11,1,103.10,2,,v Bangladesh,The Oval,1 Jun 2017,
KS Williamson (NZ),133*,166,113,13,2,117.69,2,,v South Africa,Lahore,10 Feb 2025,
RG Sharma (IND),133,204,129,10,6,103.10,2,,v Australia,Sydney,12 Jan 2019,
HE van der Dussen (SA),133,172,118,9,5,112.71,1,,v New Zealand,Pune,1 Nov 2023,
S Dhawan (IND),132*,-,90,20,3,146.66,2,,v Sri Lanka,Dambulla,20 Aug 2017,
Tamim Iqbal (BAN),132,186,135,15,3,97.77,1,,v Pakistan,Mirpur,17 Apr 2015,
JJ Roy (ENG),132,160,124,18,1,106.45,1,,v Bangladesh,Mirpur,3 Mar 2023,
Mohammad Shahzad (AFG),131*,-,133,7,8,98.49,2,,v Zimbabwe,Sharjah,29 Dec 2015,
Mohammad Rizwan (PAK),131*,193,121,8,3,108.26,2,,v Sri Lanka,Hyderabad,10 Oct 2023,
V Kohli (IND),131,-,96,17,2,136.45,1,,v Sri Lanka,Colombo (RPS),31 Aug 2017,
SE Marsh (AUS),131,178,116,10,3,112.93,2,,v England,Cardiff,16 Jun 2018,
SE Marsh (AUS),131,182,123,11,3,106.50,1,,v India,Adelaide,15 Jan 2019,
SPD Smith (AUS),131,-,132,14,1,99.24,1,,v India,Bengaluru,19 Jan 2020,
JC Buttler (ENG),131,190,127,6,7,103.14,1,,v South Africa,Kimberley,1 Feb 2023,
RG Sharma (IND),131,111,84,16,5,155.95,2,,v Afghanistan,Delhi,11 Oct 2023,
Tamim Iqbal (BAN),130*,-,160,10,3,81.25,1,,v West Indies,Providence,22 Jul 2018,
DA Warner (AUS),130,156,119,11,2,109.24,1,,v Pakistan,Sydney,22 Jan 2017,
Haris Sohail (PAK),130,-,129,11,3,100.77,2,,v Australia,Dubai (DICS),31 Mar 2019,
Shubman Gill (IND),130,145,97,15,1,134.02,1,,v Zimbabwe,Harare,22 Aug 2022,
DJ Mitchell (NZ),130,192,127,9,5,102.36,1,,v India,Dharamsala,22 Oct 2023,
V Kohli (IND),129*,123,96,19,2,134.37,2,,v South Africa,Centurion,16 Feb 2018,
JN Malan (SA),129*,215,139,7,4,92.80,2,,v Australia,Bloemfontein,4 Mar 2020,
HE van der Dussen (SA),129*,150,96,9,4,134.37,1,,v India,Paarl,19 Jan 2022,
Ibrahim Zadran (AFG),129*,217,143,8,3,90.20,1,,v Australia,Wankhede,7 Nov 2023,
JC Buttler (ENG),129,105,77,13,5,167.53,1,,v New Zealand,Birmingham,9 Jun 2015,
DJ Mitchell (NZ),129,178,119,8,3,108.40,1,,v Pakistan,Rawalpindi,29 Apr 2023,
Mahmudullah (BAN),128*,175,123,12,3,104.06,1,,v New Zealand,Hamilton,13 Mar 2015,
DA Warner (AUS),128*,-,112,17,3,114.28,2,,v India,Wankhede,14 Jan 2020,
Tamim Iqbal (BAN),128*,-,109,7,6,117.43,1,,v Zimbabwe,Sylhet,6 Mar 2020,
SS Iyer (IND),128*,145,94,10,5,136.17,1,,v Netherlands,Bengaluru,12 Nov 2023,
MM Ali (ENG),128,142,107,12,5,119.62,1,,v Scotland,Christchurch,23 Feb 2015,
TM Head (AUS),128,219,137,9,3,93.43,1,,v Pakistan,Adelaide,26 Jan 2017,
Tamim Iqbal (BAN),128,184,142,12,3,90.14,1,,v England,The Oval,1 Jun 2017,
