Player,Runs,Mins,BF,4s,6s,SR,Inns,,Opposition,Ground,Start Date,
CH Morris (SA),4,14,8,0,0,50.00,1,,v India,The Oval,11 Jun 2017,
AL Phehlukwayo (SA),4,16,11,0,0,36.36,1,,v India,The Oval,11 Jun 2017,
Imad Wasim (PAK),4,6,3,1,0,133.33,2,,v Sri Lanka,Cardiff,12 Jun 2017,
JC Buttler (ENG),4,16,7,0,0,57.14,1,,v Pakistan,Cardiff,14 Jun 2017,
MS Dhoni (IND),4,23,16,0,0,25.00,2,,v Pakistan,The Oval,18 Jun 2017,
Yuvraj Singh (IND),4,-,10,0,0,40.00,1,,v West Indies,Port of Spain,23 Jun 2017,
HH Pandya (IND),4,-,5,0,0,80.00,1,,v West Indies,Port of Spain,25 Jun 2017,
S Dhawan (IND),4,-,3,1,0,133.33,2,,v West Indies,Kingston,6 Jul 2017,
RG Sharma (IND),4,-,13,0,0,30.76,2,,v Sri Lanka,Dambulla,20 Aug 2017,
KL Rahul (IND),4,-,6,0,0,66.66,2,,v Sri Lanka,Pallekele,24 Aug 2017,
V Kohli (IND),4,-,2,1,0,200.00,2,,v Sri Lanka,Pallekele,24 Aug 2017,
S Dhawan (IND),4,-,6,1,0,66.66,1,,v Sri Lanka,Colombo (RPS),31 Aug 2017,
TM Head (AUS),4,18,6,0,0,66.66,1,,v India,Indore,24 Sep 2017,
AD Hales (ENG),4,6,3,1,0,133.33,2,,v Australia,Melbourne,14 Jan 2018,
JC Buttler (ENG),4,15,10,0,0,40.00,2,,v Australia,Melbourne,14 Jan 2018,
MP Stoinis (AUS),4,-,6,0,0,66.66,1,,v England,Brisbane,19 Jan 2018,
SPD Smith (AUS),4,-,16,0,0,25.00,2,,v England,Adelaide,26 Jan 2018,
CH Morris (SA),4,13,8,0,0,50.00,1,,v India,Centurion,16 Feb 2018,
JM Bairstow (ENG),4,15,13,1,0,30.76,1,,v New Zealand,Hamilton,25 Feb 2018,
Najibullah Zadran (AFG),4,35,14,0,0,28.57,2,,v Zimbabwe,Bulawayo,6 Mar 2018,
Asghar Afghan (AFG),4,4,2,1,0,200.00,2,,v U.A.E.,Harare,20 Mar 2018,
JC Buttler (ENG),4,-,7,0,0,57.14,1,,v India,Lord's,14 Jul 2018,
PWA Mulder (SA),4,-,7,1,0,57.14,2,,v Sri Lanka,Pallekele,8 Aug 2018,
Gulbadin Naib (AFG),4,-,5,0,0,80.00,1,,v Sri Lanka,Abu Dhabi,17 Sep 2018,
Mehidy Hasan Miraz (BAN),4,-,10,0,0,40.00,2,,v Afghanistan,Abu Dhabi,20 Sep 2018,
Shadab Khan (PAK),4,-,24,0,0,16.66,2,,v Bangladesh,Abu Dhabi,26 Sep 2018,
Mahmudullah (BAN),4,-,16,0,0,25.00,1,,v India,Dubai (DICS),28 Sep 2018,
D Elgar (SA),4,8,7,1,0,57.14,1,,v Zimbabwe,Bloemfontein,3 Oct 2018,
LA Dawson (ENG),4,13,4,1,0,100.00,1,,v Sri Lanka,Dambulla,13 Oct 2018,
JM Bairstow (ENG),4,-,2,1,0,200.00,2,,v Sri Lanka,Pallekele,17 Oct 2018,
S Dhawan (IND),4,-,6,1,0,66.66,2,,v West Indies,Guwahati,21 Oct 2018,
Litton Das (BAN),4,-,14,0,0,28.57,1,,v Zimbabwe,Mirpur,21 Oct 2018,
JJ Roy (ENG),4,-,6,1,0,66.66,2,,v Sri Lanka,Colombo (RPS),23 Oct 2018,
AU Rashid (ENG),4,-,8,0,0,50.00,2,,v Sri Lanka,Colombo (RPS),23 Oct 2018,
RG Sharma (IND),4,14,8,1,0,50.00,1,,v West Indies,Visakhapatnam,24 Oct 2018,
Q de Kock (SA),4,-,7,0,0,57.14,1,,v Australia,Hobart,11 Nov 2018,
Imrul Kayes (BAN),4,-,2,1,0,200.00,2,,v West Indies,Mirpur,9 Dec 2018,
DA Miller (SA),4,15,7,0,0,57.14,1,,v Pakistan,Johannesburg,27 Jan 2019,
Samiullah Shinwari (AFG),4,-,3,1,0,133.33,1,,v Ireland,Dehradun,5 Mar 2019,
GJ Maxwell (AUS),4,-,18,0,0,22.22,2,,v India,Nagpur,5 Mar 2019,
NM Coulter-Nile (AUS),4,-,4,0,0,100.00,2,,v India,Nagpur,5 Mar 2019,
RR Hendricks (SA),4,23,11,0,0,36.36,1,,v Sri Lanka,Durban,10 Mar 2019,
MP Stoinis (AUS),4,-,7,0,0,57.14,1,,v Pakistan,Dubai (DICS),31 Mar 2019,
Saad Ali (PAK),4,-,11,0,0,36.36,2,,v Australia,Dubai (DICS),31 Mar 2019,
Rahmat Shah (AFG),4,18,12,0,0,33.33,2,,v Ireland,Belfast,19 May 2019,
Shoaib Malik (PAK),4,14,12,0,0,33.33,2,,v England,Leeds,19 May 2019,
Dawlat Zadran (AFG),4,5,6,1,0,66.66,1,,v Australia,Bristol,1 Jun 2019,
Wahab Riaz (PAK),4,4,2,1,0,200.00,1,,v England,Nottingham,3 Jun 2019,
Hashmatullah Shahidi (AFG),4,24,17,0,0,23.52,2,,v Sri Lanka,Cardiff,4 Jun 2019,
Gulbadin Naib (AFG),4,9,4,1,0,100.00,1,,v New Zealand,Taunton,8 Jun 2019,
Najibullah Zadran (AFG),4,2,3,1,0,133.33,1,,v New Zealand,Taunton,8 Jun 2019,
NM Coulter-Nile (AUS),4,22,9,0,0,44.44,2,,v India,The Oval,9 Jun 2019,
AT Carey (AUS),4,8,3,0,0,133.33,1,,v Sri Lanka,The Oval,15 Jun 2019,
Wahab Riaz (PAK),4,7,4,0,0,100.00,1,,v South Africa,Lord's,23 Jun 2019,
EJG Morgan (ENG),4,13,7,1,0,57.14,2,,v Australia,Lord's,25 Jun 2019,
CR Woakes (ENG),4,12,11,0,0,36.36,1,,v New Zealand,Chester-le-Street,3 Jul 2019,
TA Boult (NZ),4,7,7,1,0,57.14,2,,v England,Chester-le-Street,3 Jul 2019,
RR Pant (IND),4,6,4,1,0,100.00,2,,v Sri Lanka,Leeds,6 Jul 2019,
PSP Handscomb (AUS),4,15,12,0,0,33.33,1,,v England,Birmingham,11 Jul 2019,
MJ Henry (NZ),4,7,2,1,0,200.00,1,,v England,Lord's,14 Jul 2019,
Mohammad Mithun (BAN),4,-,11,0,0,36.36,2,,v Sri Lanka,Colombo (RPS),31 Jul 2019,
V Kohli (IND),4,-,4,1,0,100.00,1,,v West Indies,Chennai,15 Dec 2019,
SS Iyer (IND),4,-,9,0,0,44.44,1,,v Australia,Wankhede,14 Jan 2020,
AJ Turner (AUS),4,-,10,0,0,40.00,1,,v India,Bengaluru,19 Jan 2020,
KL Rahul (IND),4,17,8,0,0,50.00,2,,v New Zealand,Auckland,8 Feb 2020,
DA Warner (AUS),4,18,9,0,0,44.44,1,,v South Africa,Potchefstroom,7 Mar 2020,
LRPL Taylor (NZ),4,-,6,0,0,66.66,2,,v Australia,Sydney,13 Mar 2020,
JM Bairstow (ENG),4,16,7,0,0,57.14,1,,v Ireland,Southampton,4 Aug 2020,
MP Stoinis (AUS),4,11,7,1,0,57.14,2,,v England,Manchester,16 Sep 2020,
Imam-ul-Haq (PAK),4,2,3,1,0,133.33,2,,v Zimbabwe,Rawalpindi,3 Nov 2020,
SA Abbott (AUS),4,-,9,0,0,44.44,2,,v India,Canberra,2 Dec 2020,
A Zampa (AUS),4,-,7,0,0,57.14,2,,v India,Canberra,2 Dec 2020,
JDS Neesham (NZ),4,7,4,0,0,100.00,1,,v Bangladesh,Wellington,26 Mar 2021,
Rubel Hossain (BAN),4,36,28,0,0,14.28,2,,v New Zealand,Wellington,26 Mar 2021,
S Dhawan (IND),4,18,17,0,0,23.52,1,,v England,Pune,26 Mar 2021,
Mohammad Nawaz (3) (PAK),4,10,10,0,0,40.00,1,,v South Africa,Centurion,7 Apr 2021,
H Klaasen (SA),4,18,12,0,0,33.33,2,,v Pakistan,Centurion,7 Apr 2021,
Shakib Al Hasan (BAN),4,9,7,0,0,57.14,2,,v Sri Lanka,Mirpur,28 May 2021,
Hasan Ali (PAK),4,4,2,1,0,200.00,1,,v England,Birmingham,13 Jul 2021,
MC Henriques (AUS),4,29,13,0,0,30.76,1,,v West Indies,Bridgetown,22 Jul 2021,
AL Phehlukwayo (SA),4,9,4,0,0,100.00,1,,v Sri Lanka,Colombo (RPS),4 Sep 2021,
K Zondo (SA),4,15,7,0,0,57.14,1,,v Netherlands,Centurion,26 Nov 2021,
AK Markram (SA),4,10,11,0,0,36.36,1,,v India,Paarl,19 Jan 2022,
B Kumar (IND),4,17,11,0,0,36.36,2,,v South Africa,Paarl,19 Jan 2022,
AL Phehlukwayo (SA),4,17,11,0,0,36.36,1,,v India,Cape Town,23 Jan 2022,
Mohammed Siraj (IND),4,14,6,1,0,66.66,1,,v West Indies,Ahmedabad,11 Feb 2022,
JN Malan (SA),4,15,10,0,0,40.00,2,,v Bangladesh,Centurion,18 Mar 2022,
HE van der Dussen (SA),4,17,10,0,0,40.00,1,,v Bangladesh,Centurion,23 Mar 2022,
K Rabada (SA),4,3,3,1,0,133.33,1,,v Bangladesh,Centurion,23 Mar 2022,
AT Carey (AUS),4,7,4,0,0,100.00,1,,v Pakistan,Lahore,29 Mar 2022,
M Labuschagne (AUS),4,19,10,1,0,40.00,1,,v Pakistan,Lahore,2 Apr 2022,
C de Grandhomme (NZ),4,4,5,0,0,80.00,1,,v Netherlands,Hamilton,4 Apr 2022,
Rahmanullah Gurbaz (AFG),4,-,9,1,0,44.44,2,,v Zimbabwe,Harare,6 Jun 2022,
PJ Cummins (AUS),4,10,6,1,0,66.66,2,,v Sri Lanka,Pallekele,16 Jun 2022,
LS Livingstone (ENG),4,9,6,0,0,66.66,2,,v Netherlands,Amstelveen,19 Jun 2022,
JC Buttler (ENG),4,7,5,0,0,80.00,1,,v India,Lord's,14 Jul 2022,
Mohammad Nawaz (3) (PAK),4,16,9,0,0,44.44,1,,v Netherlands,Rotterdam,16 Aug 2022,
DP Conway (NZ),4,-,15,0,0,26.66,1,,v West Indies,Bridgetown,17 Aug 2022,
TG Southee (NZ),4,10,6,0,0,66.66,1,,v West Indies,Bridgetown,19 Aug 2022,
Mohammad Haris (PAK),4,18,10,0,0,40.00,1,,v Netherlands,Rotterdam,21 Aug 2022,
AT Carey (AUS),4,16,9,1,0,44.44,1,,v Zimbabwe,Townsville,3 Sep 2022,
MJ Henry (NZ),4,10,7,0,0,57.14,1,,v Australia,Cairns,6 Sep 2022,
LH Ferguson (NZ),4,14,11,0,0,36.36,2,,v Australia,Cairns,11 Sep 2022,
S Dhawan (IND),4,23,16,0,0,25.00,2,,v South Africa,Lucknow,6 Oct 2022,
M Labuschagne (AUS),4,10,6,0,0,66.66,2,,v England,Adelaide,17 Nov 2022,
OP Stone (ENG),4,6,4,1,0,100.00,2,,v Australia,Melbourne,22 Nov 2022,
SA Yadav (IND),4,2,3,1,0,133.33,1,,v New Zealand,Auckland,25 Nov 2022,
Rashid Khan (AFG),4,11,5,0,0,80.00,1,,v Sri Lanka,Pallekele,25 Nov 2022,
Hashmatullah Shahidi (AFG),4,15,10,0,0,40.00,1,,v Sri Lanka,Pallekele,30 Nov 2022,
V Kohli (IND),4,27,9,1,0,44.44,2,,v Sri Lanka,Eden Gardens,12 Jan 2023,
Babar Azam (PAK),4,23,13,1,0,30.76,1,,v New Zealand,Karachi,13 Jan 2023,
SA Yadav (IND),4,6,4,0,0,100.00,1,,v Sri Lanka,Thiruvananthapuram,15 Jan 2023,
JJ Roy (ENG),4,2,6,1,0,66.66,2,,v Bangladesh,Mirpur,1 Mar 2023,
Mushfiqur Rahim (BAN),4,9,5,0,0,80.00,2,,v England,Mirpur,3 Mar 2023,
V Kohli (IND),4,15,9,1,0,44.44,2,,v Australia,Wankhede,17 Mar 2023,
Kuldeep Yadav (IND),4,21,17,0,0,23.52,1,,v Australia,Visakhapatnam,19 Mar 2023,
TA Blundell (NZ),4,9,3,1,0,133.33,2,,v Sri Lanka,Hamilton,31 Mar 2023,
AF Milne (NZ),4,12,9,0,0,44.44,1,,v Pakistan,Karachi,7 May 2023,
Rony Talukdar (BAN),4,17,14,1,0,28.57,1,,v Ireland,Chelmsford,14 May 2023,
Hashmatullah Shahidi (AFG),4,2,3,1,0,133.33,1,,v Sri Lanka,Hambantota,7 Jun 2023,
Fazalhaq Farooqi (AFG),4,27,15,1,0,26.66,1,,v Sri Lanka,Hambantota,7 Jun 2023,
Afif Hossain (BAN),4,15,8,0,0,50.00,1,,v Afghanistan,Chattogram,5 Jul 2023,
Hasan Mahmud (BAN),4,11,12,1,0,33.33,2,,v Afghanistan,Chattogram,8 Jul 2023,
Abdul Rahman (AFG),4,20,20,0,0,20.00,1,,v Bangladesh,Chattogram,11 Jul 2023,
Ikram Alikhil (AFG),4,22,9,1,0,44.44,2,,v Pakistan,Hambantota,22 Aug 2023,
Mujeeb Ur Rahman (AFG),4,10,3,1,0,133.33,2,,v Pakistan,Hambantota,22 Aug 2023,
Shaheen Shah Afridi (PAK),4,7,5,0,0,80.00,2,,v Afghanistan,Hambantota,24 Aug 2023,
Shadab Khan (PAK),4,1,2,1,0,200.00,1,,v Nepal,Multan,30 Aug 2023,
V Kohli (IND),4,8,7,1,0,57.14,1,,v Pakistan,Pallekele,2 Sep 2023,
Kuldeep Yadav (IND),4,21,13,0,0,30.76,1,,v Pakistan,Pallekele,2 Sep 2023,
Mujeeb Ur Rahman (AFG),4,11,8,0,0,50.00,2,,v Bangladesh,Lahore,3 Sep 2023,
Rahmanullah Gurbaz (AFG),4,11,8,1,0,50.00,2,,v Sri Lanka,Lahore,5 Sep 2023,
Faheem Ashraf (PAK),4,17,12,0,0,33.33,2,,v India,Colombo (RPS),10 Sep 2023,
R Ravindra (NZ),4,1,2,1,0,200.00,2,,v England,Southampton,10 Sep 2023,
MJ Santner (NZ),4,15,8,0,0,50.00,2,,v England,Southampton,10 Sep 2023,
TG Southee (NZ),4,3,3,1,0,133.33,2,,v England,Southampton,10 Sep 2023,
RA Jadeja (IND),4,18,19,0,0,21.05,1,,v Sri Lanka,Colombo (RPS),12 Sep 2023,
JE Root (ENG),4,10,7,1,0,57.14,1,,v New Zealand,The Oval,13 Sep 2023,
HM Nicholls (NZ),4,11,9,0,0,44.44,2,,v England,The Oval,13 Sep 2023,
BG Lister (NZ),4,7,7,0,0,57.14,2,,v England,The Oval,13 Sep 2023,
Fakhar Zaman (PAK),4,18,11,0,0,36.36,1,,v Sri Lanka,Colombo (RPS),14 Sep 2023,
Anamul Haque (BAN),4,17,11,1,0,36.36,1,,v India,Colombo (RPS),15 Sep 2023,
DJ Mitchell (NZ),4,13,14,0,0,28.57,2,,v England,Lord's,15 Sep 2023,
MR Marsh (AUS),4,3,4,1,0,100.00,1,,v India,Mohali,22 Sep 2023,
Towhid Hridoy (BAN),4,12,7,0,0,57.14,2,,v New Zealand,Mirpur,23 Sep 2023,
GD Phillips (NZ),4,6,4,1,0,100.00,1,,v Netherlands,Hyderabad,9 Oct 2023,
Mustafizur Rahman (BAN),4,14,10,0,0,40.00,1,,v New Zealand,Chennai,13 Oct 2023,
Iftikhar Ahmed (PAK),4,2,4,1,0,100.00,1,,v India,Ahmedabad,14 Oct 2023,
Mohammad Nawaz (3) (PAK),4,25,14,0,0,28.57,1,,v India,Ahmedabad,14 Oct 2023,
HE van der Dussen (SA),4,16,7,0,0,57.14,2,,v Netherlands,Dharamsala,17 Oct 2023,
Mujeeb Ur Rahman (AFG),4,2,3,1,0,133.33,2,,v New Zealand,Chennai,18 Oct 2023,
Q de Kock (SA),4,3,2,1,0,200.00,1,,v England,Wankhede,21 Oct 2023,
L Ngidi (SA),4,24,14,0,0,28.57,2,,v Pakistan,Chennai,27 Oct 2023,
SS Iyer (IND),4,21,16,0,0,25.00,1,,v England,Lucknow,29 Oct 2023,
Najmul Hossain Shanto (BAN),4,8,3,1,0,133.33,1,,v Pakistan,Eden Gardens,31 Oct 2023,
TWM Latham (NZ),4,18,15,0,0,26.66,2,,v South Africa,Pune,1 Nov 2023,
RG Sharma (IND),4,2,2,1,0,200.00,1,,v Sri Lanka,Wankhede,2 Nov 2023,
Abdullah Shafique (PAK),4,8,9,1,0,44.44,2,,v New Zealand,Bengaluru,4 Nov 2023,
MM Ali (ENG),4,20,15,0,0,26.66,1,,v Netherlands,Pune,8 Nov 2023,
Shadab Khan (PAK),4,4,7,1,0,57.14,2,,v England,Eden Gardens,11 Nov 2023,
KA Maharaj (SA),4,13,8,0,0,50.00,1,,v Australia,Eden Gardens,16 Nov 2023,
Shubman Gill (IND),4,21,7,0,0,57.14,1,,v Australia,Ahmedabad,19 Nov 2023,
SS Iyer (IND),4,3,3,1,0,133.33,1,,v Australia,Ahmedabad,19 Nov 2023,
SPD Smith (AUS),4,11,9,1,0,44.44,2,,v India,Ahmedabad,19 Nov 2023,
AAP Atkinson (ENG),4,3,3,1,0,133.33,1,,v West Indies,North Sound,3 Dec 2023,
PD Salt (ENG),4,5,6,1,0,66.66,1,,v West Indies,Bridgetown,9 Dec 2023,
Mushfiqur Rahim (BAN),4,10,10,0,0,40.00,2,,v New Zealand,Dunedin,17 Dec 2023,
Hasan Mahmud (BAN),4,15,12,0,0,33.33,2,,v New Zealand,Dunedin,17 Dec 2023,
KA Maharaj (SA),4,17,7,1,0,57.14,1,,v India,Johannesburg,17 Dec 2023,
RD Gaikwad (IND),4,2,2,1,0,200.00,1,,v South Africa,Gqeberha,19 Dec 2023,
TA Blundell (NZ),4,27,17,0,0,23.52,1,,v Bangladesh,Napier,23 Dec 2023,
AF Milne (NZ),4,24,20,0,0,20.00,1,,v Bangladesh,Napier,23 Dec 2023,
TM Head (AUS),4,3,5,1,0,80.00,2,,v West Indies,Melbourne,2 Feb 2024,
Ibrahim Zadran (AFG),4,15,7,1,0,57.14,2,,v Sri Lanka,Pallekele,9 Feb 2024,
Ikram Alikhil (AFG),4,7,1,1,0,400.00,2,,v Sri Lanka,Pallekele,11 Feb 2024,
Sharafuddin Ashraf (AFG),4,8,9,0,0,44.44,1,,v Sri Lanka,Pallekele,14 Feb 2024,
Rahmat Shah (AFG),4,13,9,0,0,44.44,1,,v Ireland,Sharjah,12 Mar 2024,
Azmatullah Omarzai (AFG),4,15,9,0,0,44.44,1,,v Ireland,Sharjah,12 Mar 2024,
Mohammed Siraj (IND),4,18,18,0,0,22.22,2,,v Sri Lanka,Colombo (RPS),4 Aug 2024,
JC Archer (ENG),4,6,8,1,0,50.00,1,,v Australia,Nottingham,19 Sep 2024,
SPD Smith (AUS),4,11,6,1,0,66.66,1,,v England,Leeds,21 Sep 2024,
HC Brook (ENG),4,12,9,1,0,44.44,2,,v Australia,Leeds,21 Sep 2024,
Ikram Alikhil (AFG),4,17,9,0,0,44.44,1,,v South Africa,Sharjah,22 Sep 2024,
Fareed Ahmad (AFG),4,20,20,0,0,20.00,1,,v South Africa,Sharjah,22 Sep 2024,
M Labuschagne (AUS),4,19,10,0,0,40.00,2,,v England,Lord's,27 Sep 2024,
T Bavuma (SA),4,6,4,1,0,100.00,1,,v Ireland,Abu Dhabi,2 Oct 2024,
RD Rickelton (SA),4,3,5,0,0,80.00,2,,v Ireland,Abu Dhabi,7 Oct 2024,
JM Cox (ENG),4,30,19,0,0,21.05,2,,v West Indies,North Sound,2 Nov 2024,
Nangeyalia Kharote (AFG),4,10,12,0,0,33.33,2,,v Bangladesh,Sharjah,9 Nov 2024,
Zakir Hasan (BAN),4,10,7,1,0,57.14,1,,v Afghanistan,Sharjah,11 Nov 2024,
TB Robinson (NZ),4,7,4,1,0,100.00,1,,v Sri Lanka,Pallekele,17 Nov 2024,
Agha Salman (PAK),4,12,11,0,0,36.36,2,,v Zimbabwe,Bulawayo,24 Nov 2024,
Litton Das (BAN),4,23,19,0,0,21.05,1,,v West Indies,Basseterre,10 Dec 2024,
Kamran Ghulam (PAK),4,12,14,0,0,28.57,2,,v South Africa,Paarl,17 Dec 2024,
Abrar Ahmed (PAK),4,2,2,1,0,200.00,1,,v South Africa,Cape Town,19 Dec 2024,
Mohammad Hasnain (PAK),4,2,2,1,0,200.00,1,,v South Africa,Johannesburg,22 Dec 2024,
WA Young (NZ),4,3,4,1,0,100.00,1,,v Pakistan,Lahore,8 Feb 2025,
Tayyab Tahir (PAK),4,5,6,0,0,66.66,1,,v India,Dubai (DICS),23 Feb 2025,
Mahmudullah (BAN),4,11,14,0,0,28.57,1,,v New Zealand,Rawalpindi,24 Feb 2025,
MG Johnson (AUS),3*,6,3,0,0,100.00,1,,v Sri Lanka,Sydney,8 Mar 2015,
Arafat Sunny (BAN),3*,3,3,0,0,100.00,1,,v England,Adelaide,9 Mar 2015,
R Ashwin (IND),3*,5,3,0,0,100.00,1,,v Bangladesh,Melbourne,19 Mar 2015,
Nasir Hossain (BAN),3*,3,1,0,0,300.00,1,,v Pakistan,Mirpur,17 Apr 2015,
CJ Jordan (ENG),3*,9,2,0,0,150.00,2,,v New Zealand,The Oval,12 Jun 2015,
MA Wood (ENG),3*,9,4,0,0,75.00,1,,v New Zealand,Southampton,14 Jun 2015,
BM Wheeler (NZ),3*,14,6,0,0,50.00,2,,v England,Southampton,14 Jun 2015,
BM Wheeler (NZ),3*,2,2,0,0,150.00,1,,v England,Nottingham,17 Jun 2015,
KJ Abbott (SA),3*,11,8,0,0,37.50,1,,v New Zealand,Durban,26 Aug 2015,
Arafat Sunny (BAN),3*,11,5,0,0,60.00,1,,v Zimbabwe,Mirpur,11 Nov 2015,
R Dhawan (IND),3*,5,5,0,0,60.00,1,,v Australia,Melbourne,17 Jan 2016,
KJ Abbott (SA),3*,-,11,0,0,27.27,2,,v England,Johannesburg,12 Feb 2016,
K Rabada (SA),3*,17,6,0,0,50.00,2,,v Australia,Basseterre,11 Jun 2016,
Yamin Ahmadzai (AFG),3*,-,7,0,0,42.85,2,,v Ireland,Belfast,19 Jul 2016,
Mohammad Amir (PAK),3*,9,4,0,0,75.00,1,,v West Indies,Sharjah,30 Sep 2016,
SM Boland (AUS),3*,4,3,0,0,100.00,1,,v South Africa,Centurion,30 Sep 2016,
LH Ferguson (NZ),3*,17,6,0,0,50.00,1,,v Australia,Auckland,30 Jan 2017,
CH Morris (SA),3*,12,4,0,0,75.00,1,,v Sri Lanka,Centurion,10 Feb 2017,
Mushfiqur Rahim (BAN),3*,-,7,0,0,42.85,2,,v Ireland,Dublin (Malahide),19 May 2017,
MS Dhoni (IND),3*,9,6,0,0,50.00,2,,v Australia,Indore,24 Sep 2017,
MS Wade (AUS),3*,6,3,0,0,100.00,1,,v India,Bengaluru,28 Sep 2017,
Taskin Ahmed (BAN),3*,18,6,0,0,50.00,2,,v South Africa,Paarl,18 Oct 2017,
AJ Tye (AUS),3*,-,1,0,0,300.00,2,,v England,Adelaide,26 Jan 2018,
HH Pandya (IND),3*,15,6,0,0,50.00,2,,v South Africa,Durban,1 Feb 2018,
MA Wood (ENG),3*,7,4,0,0,75.00,1,,v New Zealand,Dunedin,7 Mar 2018,
LE Plunkett (ENG),3*,20,15,0,0,20.00,2,,v Australia,The Oval,13 Jun 2018,
NM Lyon (AUS),3*,-,3,0,0,100.00,1,,v England,Chester-le-Street,21 Jun 2018,
Mosaddek Hossain (BAN),3*,-,4,0,0,75.00,2,,v West Indies,Providence,25 Jul 2018,
CJ Dala (SA),3*,-,3,0,0,100.00,2,,v Sri Lanka,Pallekele,8 Aug 2018,
Junaid Khan (PAK),3*,-,10,0,0,30.00,2,,v Bangladesh,Abu Dhabi,26 Sep 2018,
LH Ferguson (NZ),3*,-,4,0,0,75.00,1,,v Pakistan,Abu Dhabi,7 Nov 2018,
Yasir Shah (PAK),3*,-,3,0,0,100.00,2,,v Australia,Dubai (DICS),29 Mar 2019,
Mohammad Amir (PAK),3*,13,6,0,0,50.00,1,,v West Indies,Nottingham,31 May 2019,
AU Rashid (ENG),3*,9,4,0,0,75.00,2,,v Pakistan,Nottingham,3 Jun 2019,
Ikram Alikhil (AFG),3*,18,10,0,0,30.00,2,,v England,Manchester,18 Jun 2019,
Sarfaraz Ahmed (PAK),3*,13,3,0,0,100.00,1,,v Bangladesh,Lord's,5 Jul 2019,
TA Boult (NZ),3*,6,3,0,0,100.00,1,,v India,Manchester,9 Jul 2019,
Mohammed Shami (IND),3*,11,5,0,0,60.00,1,,v West Indies,Port of Spain,11 Aug 2019,
A Zampa (AUS),3*,7,3,0,0,100.00,1,,v South Africa,Bloemfontein,4 Mar 2020,
DA Miller (SA),3*,14,5,0,0,60.00,2,,v Australia,Potchefstroom,7 Mar 2020,
Mohammad Hasnain (PAK),3*,5,3,0,0,100.00,2,,v Zimbabwe,Rawalpindi,3 Nov 2020,
MJ Santner (NZ),3*,8,1,0,0,300.00,1,,v Bangladesh,Wellington,26 Mar 2021,
Saud Shakeel (PAK),3*,6,3,0,0,100.00,1,,v England,Birmingham,13 Jul 2021,
T Bavuma (SA),3*,7,3,0,0,100.00,1,,v Ireland,Dublin (Malahide),16 Jul 2021,
T Shamsi (SA),3*,11,5,0,0,60.00,1,,v Bangladesh,Centurion,23 Mar 2022,
NT Ellis (AUS),3*,7,2,0,0,150.00,1,,v Pakistan,Lahore,29 Mar 2022,
Najibullah Zadran (AFG),3*,19,4,0,0,75.00,1,,v Zimbabwe,Harare,4 Jun 2022,
MJ Henry (NZ),3*,11,3,0,0,100.00,2,,v Ireland,Dublin (Malahide),12 Jul 2022,
BA Carse (ENG),3*,9,7,0,0,42.85,1,,v India,Manchester,17 Jul 2022,
MJ Potts (ENG),3*,9,4,0,0,75.00,2,,v South Africa,Chester-le-Street,19 Jul 2022,
AU Rashid (ENG),3*,15,10,0,0,30.00,2,,v Australia,Sydney,19 Nov 2022,
Kuldeep Yadav (IND),3*,8,3,0,0,100.00,1,,v Bangladesh,Chattogram,10 Dec 2022,
Mohammed Siraj (IND),3*,8,5,0,0,60.00,2,,v Australia,Chennai,22 Mar 2023,
Mustafizur Rahman (BAN),3*,10,11,0,0,27.27,1,,v Afghanistan,Chattogram,5 Jul 2023,
Haris Rauf (PAK),3*,1,1,0,0,300.00,2,,v Afghanistan,Hambantota,24 Aug 2023,
MJ Henry (NZ),3*,8,3,0,0,100.00,2,,v England,Southampton,10 Sep 2023,
RA Jadeja (IND),3*,8,6,0,0,50.00,2,,v Australia,Mohali,22 Sep 2023,
MJ Potts (ENG),3*,4,3,0,0,100.00,1,,v Ireland,Nottingham,23 Sep 2023,
Mustafizur Rahman (BAN),3*,12,9,0,0,33.33,2,,v England,Dharamsala,10 Oct 2023,
Shaheen Shah Afridi (PAK),3*,4,3,0,0,100.00,1,,v Afghanistan,Chennai,23 Oct 2023,
MA Starc (AUS),3*,13,8,0,0,37.50,2,,v England,Lord's,27 Sep 2024,
OEG Baartman (SA),3*,7,3,0,0,100.00,1,,v Ireland,Abu Dhabi,2 Oct 2024,
Mustafizur Rahman (BAN),3*,5,3,0,0,100.00,2,,v Afghanistan,Sharjah,6 Nov 2024,
W O'Rourke (NZ),3*,3,5,0,0,60.00,1,,v Sri Lanka,Hamilton,8 Jan 2025,
AR Patel (IND),3*,11,4,0,0,75.00,2,,v Pakistan,Dubai (DICS),23 Feb 2025,
Mustafizur Rahman (BAN),3*,8,5,0,0,60.00,1,,v New Zealand,Rawalpindi,24 Feb 2025,
Sabbir Rahman (BAN),3,7,8,0,0,37.50,1,,v Afghanistan,Canberra,18 Feb 2015,
Mominul Haque (BAN),3,6,3,0,0,100.00,1,,v Afghanistan,Canberra,18 Feb 2015,
JC Buttler (ENG),3,8,7,0,0,42.85,1,,v New Zealand,Wellington,20 Feb 2015,
Wahab Riaz (PAK),3,17,13,0,0,23.07,2,,v West Indies,Christchurch,21 Feb 2015,
Sohail Khan (PAK),3,21,11,0,0,27.27,1,,v South Africa,Auckland,7 Mar 2015,
