,player,runs,mins,bf,4s,6s,sr,inns_batting,overs,mdns,runs_given,wkts,econ,inns_bowling,dis,ct,st,ct_wk,ct_fi,opposition,ground,start_date,country,runs_clean,Credits,Player Type,Player Name,Team,Bowling Style,fantasy_points,preferred_style,opponent_tier
5326,Kuldeep Yadav,,0,0,0,0,0.0,1,10.0,0,57,1,5.7,2,1.0,1,0,0,1,v Australia,Canberra,2020-12-02,IND,,8.0,BOWL,Kuldeep Yadav,IND,Spin,37.0,,1
5327,M Labuschagne,7.0,0,13,1,0,53.84,2,DNB,0,0,0,0.0,1,1.0,1,0,0,1,v India,Canberra,2020-12-02,AUS,7.0,7.5,BAT,Marnus Labuschagne,AUS,,23.0,,1
5328,AT Carey,38.0,0,42,4,0,90.47,2,DNB,0,0,0,0.0,1,1.0,1,0,1,0,v India,Canberra,2020-12-02,AUS,38.0,7.0,WK,Alex Carey,AUS,,70.0,,1
5332,KL Rahul,76.0,0,66,4,5,115.15,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v Australia,Sydney,2020-11-29,IND,76.0,7.5,WK,Lokesh Rahul,IND,,152.0,,1
5334,A Zampa,,0,0,0,0,0.0,1,10.0,0,62,2,6.2,2,0.0,0,0,0,0,v India,Sydney,2020-11-29,AUS,,9.0,BOWL,Adam Zampa,AUS,Spin,54.0,,1
5335,Mohammed Shami,1.0,0,4,0,0,25.0,2,9.0,0,73,1,8.11,1,1.0,1,0,0,1,v Australia,Sydney,2020-11-29,IND,1.0,8.5,BOWL,Mohammed Shami,IND,Pace,34.0,,1
5339,GJ Maxwell,,0,29,4,4,217.24,1,5.0,0,34,1,6.8,2,2.0,2,0,0,2,v India,Sydney,2020-11-29,AUS,63.0,8.5,ALL,Glenn Maxwell,AUS,Spin,166.0,,1
5344,SPD Smith,104.0,0,64,14,2,162.5,1,DNB,0,0,0,0.0,2,2.0,2,0,0,2,v India,Sydney,2020-11-29,AUS,104.0,8.5,BAT,Steven Smith,AUS,,238.0,,1
5345,RA Jadeja,24.0,0,11,1,2,218.18,2,10.0,0,60,0,6.0,1,0.0,0,0,0,0,v Australia,Sydney,2020-11-29,IND,24.0,8.0,ALL,Ravindra Jadeja,IND,Spin,44.0,,1
5347,HH Pandya,28.0,0,31,1,1,90.32,2,4.0,0,24,1,6.0,1,0.0,0,0,0,0,v Australia,Sydney,2020-11-29,IND,28.0,8.5,ALL,Hardik Pandya,IND,Pace,71.0,,1
5348,V Kohli,89.0,0,87,7,2,102.29,2,DNB,0,0,0,0.0,1,1.0,1,0,0,1,v Australia,Sydney,2020-11-29,IND,89.0,9.0,BAT,Virat Kohli,IND,,167.0,,1
5349,AT Carey,,0,0,0,0,0.0,1,DNB,0,0,0,0.0,2,1.0,1,0,1,0,v India,Sydney,2020-11-29,AUS,,7.0,WK,Alex Carey,AUS,,12.0,,1
5350,SS Iyer,38.0,0,36,5,0,105.55,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v Australia,Sydney,2020-11-29,IND,38.0,8.0,BAT,Shreyas Iyer,IND,,68.0,,1
5352,M Labuschagne,70.0,0,61,5,0,114.75,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v India,Sydney,2020-11-29,AUS,70.0,7.5,BAT,Marnus Labuschagne,AUS,,108.0,,1
5356,HH Pandya,90.0,0,76,7,4,118.42,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v Australia,Sydney,2020-11-27,IND,90.0,8.5,ALL,Hardik Pandya,IND,Pace,172.0,,1
5358,M Labuschagne,2.0,0,2,0,0,100.0,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v India,Sydney,2020-11-27,AUS,2.0,7.5,BAT,Marnus Labuschagne,AUS,,6.0,,1
5359,SS Iyer,2.0,0,2,0,0,100.0,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v Australia,Sydney,2020-11-27,IND,2.0,8.0,BAT,Shreyas Iyer,IND,,6.0,,1
5360,AT Carey,,0,13,2,0,130.76,1,DNB,0,0,0,0.0,2,1.0,1,0,1,0,v India,Sydney,2020-11-27,AUS,17.0,7.0,WK,Alex Carey,AUS,,37.0,,1
5361,SPD Smith,105.0,0,66,11,4,159.09,1,DNB,0,0,0,0.0,2,1.0,1,0,0,1,v India,Sydney,2020-11-27,AUS,105.0,8.5,BAT,Steven Smith,AUS,,231.0,,1
5364,KL Rahul,12.0,0,15,1,0,80.0,2,DNB,0,0,0,0.0,1,3.0,3,0,3,0,v Australia,Sydney,2020-11-27,IND,12.0,7.5,WK,Lokesh Rahul,IND,,48.0,,1
5366,A Zampa,,0,0,0,0,0.0,1,10.0,0,54,4,5.4,2,0.0,0,0,0,0,v India,Sydney,2020-11-27,AUS,,9.0,BOWL,Adam Zampa,AUS,Spin,108.0,,1
5367,GJ Maxwell,45.0,0,19,5,3,236.84,1,6.4,0,55,0,8.25,2,1.0,1,0,0,1,v India,Sydney,2020-11-27,AUS,45.0,8.5,ALL,Glenn Maxwell,AUS,Spin,95.0,,1
5369,RA Jadeja,25.0,0,37,0,1,67.56,2,10.0,0,63,0,6.3,1,1.0,1,0,0,1,v Australia,Sydney,2020-11-27,IND,25.0,8.0,ALL,Ravindra Jadeja,IND,Spin,47.0,,1
5371,V Kohli,21.0,0,21,2,1,100.0,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v Australia,Sydney,2020-11-27,IND,21.0,9.0,BAT,Virat Kohli,IND,,39.0,,1
5372,Mohammed Shami,13.0,0,10,1,1,130.0,2,10.0,0,59,3,5.9,1,0.0,0,0,0,0,v Australia,Sydney,2020-11-27,IND,13.0,8.5,BOWL,Mohammed Shami,IND,Pace,102.0,,1
5375,Mohammad Hasnain,,5,3,0,0,100.0,2,10.0,3,26,5,2.6,1,1.0,1,0,0,1,v Zimbabwe,Rawalpindi,2020-11-03,PAK,3.0,7.0,BOWL,Mohammad Hasnain,PAK,Pace,166.0,PACE,3
5378,Mohammad Rizwan,10.0,32,26,0,0,38.46,2,DNB,0,0,0,0.0,1,1.0,1,0,1,0,v Zimbabwe,Rawalpindi,2020-11-03,PAK,10.0,8.5,WK,Mohammad Rizwan,PAK,,18.0,PACE,3
5379,Shaheen Shah Afridi,2.0,10,5,0,0,40.0,2,10.0,1,42,0,4.2,1,0.0,0,0,0,0,v Zimbabwe,Rawalpindi,2020-11-03,PAK,2.0,9.0,BOWL,Shaheen Afridi,PAK,Pace,14.0,PACE,3
5380,Khushdil Shah,33.0,45,48,4,0,68.75,2,DNB,0,0,0,0.0,1,1.0,1,0,0,1,v Zimbabwe,Rawalpindi,2020-11-03,PAK,33.0,6.5,ALL,Khushdil Shah,PAK,Spin,65.0,PACE,3
5381,Babar Azam,125.0,201,125,13,1,100.0,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v Zimbabwe,Rawalpindi,2020-11-03,PAK,125.0,8.5,BAT,Babar Azam,PAK,,247.0,PACE,3
5383,Fakhar Zaman,2.0,8,2,0,0,100.0,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v Zimbabwe,Rawalpindi,2020-11-03,PAK,2.0,8.0,BAT,Fakhar Zaman,PAK,,6.0,PACE,3
5388,Haris Rauf,,0,0,0,0,0.0,2,7.0,0,31,1,4.42,1,0.0,0,0,0,0,v Zimbabwe,Rawalpindi,2020-11-01,PAK,,8.0,BOWL,Haris Rauf,PAK,Pace,31.0,PACE,3
5390,Shaheen Shah Afridi,,0,0,0,0,0.0,2,10.0,1,36,0,3.6,1,1.0,1,0,0,1,v Zimbabwe,Rawalpindi,2020-11-01,PAK,,9.0,BOWL,Shaheen Afridi,PAK,Pace,20.0,PACE,3
5392,Faheem Ashraf,,0,0,0,0,0.0,2,7.0,1,30,1,4.28,1,0.0,0,0,0,0,v Zimbabwe,Rawalpindi,2020-11-01,PAK,,6.5,ALL,Faheem Ashraf,PAK,Pace,37.0,PACE,3
5393,Mohammad Rizwan,1.0,17,5,0,0,20.0,2,DNB,0,0,0,0.0,1,1.0,1,0,1,0,v Zimbabwe,Rawalpindi,2020-11-01,PAK,1.0,8.5,WK,Mohammad Rizwan,PAK,,13.0,PACE,3
5395,Babar Azam,,92,74,7,2,104.05,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v Zimbabwe,Rawalpindi,2020-11-01,PAK,77.0,8.5,BAT,Babar Azam,PAK,,147.0,PACE,3
5397,Haris Rauf,,0,0,0,0,0.0,1,10.0,1,57,0,5.7,2,1.0,1,0,0,1,v Zimbabwe,Rawalpindi,2020-10-30,PAK,,8.0,BOWL,Haris Rauf,PAK,Pace,18.0,PACE,3
5398,Faheem Ashraf,23.0,30,16,3,0,143.75,1,10.0,1,57,0,5.7,2,0.0,0,0,0,0,v Zimbabwe,Rawalpindi,2020-10-30,PAK,23.0,6.5,ALL,Faheem Ashraf,PAK,Pace,45.0,PACE,3
5399,Mohammad Rizwan,14.0,41,29,0,0,48.27,1,DNB,0,0,0,0.0,2,1.0,1,0,1,0,v Zimbabwe,Rawalpindi,2020-10-30,PAK,14.0,8.5,WK,Mohammad Rizwan,PAK,,24.0,PACE,3
5402,Shaheen Shah Afridi,,10,5,1,0,160.0,1,10.0,0,49,5,4.9,2,0.0,0,0,0,0,v Zimbabwe,Rawalpindi,2020-10-30,PAK,8.0,9.0,BOWL,Shaheen Afridi,PAK,Pace,145.0,PACE,3
5403,Babar Azam,19.0,30,18,3,0,105.55,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v Zimbabwe,Rawalpindi,2020-10-30,PAK,19.0,8.5,BAT,Babar Azam,PAK,,35.0,PACE,3
5409,GJ Maxwell,108.0,138,90,4,7,120.0,2,4.0,0,23,0,5.75,1,1.0,1,0,0,1,v England,Manchester,2020-09-16,AUS,108.0,8.5,ALL,Glenn Maxwell,AUS,Spin,220.0,,1
5410,A Zampa,,0,0,0,0,0.0,2,10.0,0,51,3,5.1,1,0.0,0,0,0,0,v England,Manchester,2020-09-16,AUS,,9.0,BOWL,Adam Zampa,AUS,Spin,79.0,,1
5411,AT Carey,106.0,168,114,7,2,92.98,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v England,Manchester,2020-09-16,AUS,106.0,7.0,WK,Alex Carey,AUS,,190.0,,1
5413,JE Root,0.0,1,1,0,0,0.0,1,8.0,0,46,2,5.75,2,0.0,0,0,0,0,v Australia,Manchester,2020-09-16,ENG,0.0,8.0,ALL,Joe Root,ENG,Spin,51.0,,1
5414,M Labuschagne,20.0,57,31,1,0,64.51,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v England,Manchester,2020-09-16,AUS,20.0,7.5,BAT,Marnus Labuschagne,AUS,,28.0,,1
5417,AU Rashid,,16,9,0,1,122.22,1,7.4,0,68,1,8.86,2,0.0,0,0,0,0,v Australia,Manchester,2020-09-16,ENG,11.0,8.5,BOWL,Adil Rashid,ENG,Spin,42.0,,1
5418,MA Wood,,0,0,0,0,0.0,1,9.0,1,40,0,4.44,2,1.0,1,0,0,1,v Australia,Manchester,2020-09-16,ENG,,7.5,BOWL,Mark Wood,ENG,Pace,20.0,,1
5427,JC Buttler,8.0,32,20,0,0,40.0,1,DNB,0,0,0,0.0,2,1.0,1,0,1,0,v Australia,Manchester,2020-09-16,ENG,8.0,8.5,WK,Jos Buttler,ENG,,18.0,,1
5428,JC Archer,,0,0,0,0,0.0,1,9.0,0,60,1,6.66,2,0.0,0,0,0,0,v Australia,Manchester,2020-09-16,ENG,,8.0,BOWL,Jofra Archer,ENG,Pace,29.0,,1
5431,AT Carey,36.0,80,41,2,0,87.8,2,DNB,0,0,0,0.0,1,3.0,3,0,3,0,v England,Manchester,2020-09-13,AUS,36.0,7.0,WK,Alex Carey,AUS,,80.0,,1
5437,JC Archer,,1,2,1,0,300.0,1,10.0,2,34,3,3.4,2,1.0,1,0,0,1,v Australia,Manchester,2020-09-13,ENG,6.0,8.0,BOWL,Jofra Archer,ENG,Pace,113.0,,1
5438,AU Rashid,,41,26,3,1,134.61,1,9.4,0,67,1,6.93,2,0.0,0,0,0,0,v Australia,Manchester,2020-09-13,ENG,35.0,8.5,BOWL,Adil Rashid,ENG,Spin,90.0,,1
5441,JC Buttler,3.0,14,7,0,0,42.85,1,DNB,0,0,0,0.0,2,4.0,3,1,3,0,v Australia,Manchester,2020-09-13,ENG,3.0,8.5,WK,Jos Buttler,ENG,,47.0,,1
5443,M Labuschagne,48.0,99,59,3,0,81.35,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v England,Manchester,2020-09-13,AUS,48.0,7.5,BAT,Marnus Labuschagne,AUS,,68.0,,1
5448,GJ Maxwell,1.0,9,8,0,0,12.5,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v England,Manchester,2020-09-13,AUS,1.0,8.5,ALL,Glenn Maxwell,AUS,Spin,5.0,,1
5449,A Zampa,2.0,20,19,0,0,10.52,2,10.0,0,36,3,3.6,1,0.0,0,0,0,0,v England,Manchester,2020-09-13,AUS,2.0,9.0,BOWL,Adam Zampa,AUS,Spin,83.0,,1
5451,JE Root,39.0,88,73,4,1,53.42,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v Australia,Manchester,2020-09-13,ENG,39.0,8.0,ALL,Joe Root,ENG,Spin,69.0,,1
5452,A Zampa,5.0,15,9,0,0,55.55,1,10.0,0,55,4,5.5,2,0.0,0,0,0,0,v England,Manchester,2020-09-11,AUS,5.0,9.0,BOWL,Adam Zampa,AUS,Spin,113.0,,1
5454,GJ Maxwell,77.0,83,59,4,4,130.5,1,3.0,0,19,0,6.33,2,3.0,3,0,0,3,v England,Manchester,2020-09-11,AUS,77.0,8.5,ALL,Glenn Maxwell,AUS,Spin,177.0,,1
5458,AU Rashid,5.0,7,5,0,0,100.0,2,10.0,0,55,2,5.5,1,0.0,0,0,0,0,v Australia,Manchester,2020-09-11,ENG,5.0,8.5,BOWL,Adil Rashid,ENG,Spin,59.0,,1
5459,JE Root,1.0,15,11,0,0,9.09,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v Australia,Manchester,2020-09-11,ENG,1.0,8.0,ALL,Joe Root,ENG,Spin,5.0,,1
5460,M Labuschagne,21.0,46,30,1,0,70.0,1,DNB,0,0,0,0.0,2,2.0,2,0,0,2,v England,Manchester,2020-09-11,AUS,21.0,7.5,BAT,Marnus Labuschagne,AUS,,45.0,,1
5462,MA Wood,,0,0,0,0,0.0,2,10.0,0,54,3,5.4,1,0.0,0,0,0,0,v Australia,Manchester,2020-09-11,ENG,,7.5,BOWL,Mark Wood,ENG,Pace,79.0,,1
5464,JC Archer,,25,10,0,0,80.0,2,10.0,0,57,3,5.7,1,0.0,0,0,0,0,v Australia,Manchester,2020-09-11,ENG,8.0,8.0,BOWL,Jofra Archer,ENG,Pace,87.0,,1
5469,JC Buttler,1.0,8,4,0,0,25.0,2,DNB,0,0,0,0.0,1,2.0,2,0,2,0,v Australia,Manchester,2020-09-11,ENG,1.0,8.5,WK,Jos Buttler,ENG,,21.0,,1
5471,AT Carey,10.0,14,10,1,0,100.0,1,DNB,0,0,0,0.0,2,1.0,1,0,1,0,v England,Manchester,2020-09-11,AUS,10.0,7.0,WK,Alex Carey,AUS,,26.0,,1
5474,AU Rashid,3.0,10,3,0,0,100.0,1,10.0,1,61,1,6.1,2,0.0,0,0,0,0,v Ireland,Southampton,2020-08-04,ENG,3.0,8.5,BOWL,Adil Rashid,ENG,Spin,38.0,,3
5476,S Mahmood,12.0,22,15,1,0,80.0,1,9.5,0,58,0,5.89,2,0.0,0,0,0,0,v Ireland,Southampton,2020-08-04,ENG,12.0,7.5,BOWL,Saqib Mahmood,ENG,Pace,20.0,,3
5484,T Banton,58.0,88,51,6,1,113.72,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v Ireland,Southampton,2020-08-04,ENG,58.0,6.5,BAT,Tom Banton,ENG,,106.0,,3
5490,T Banton,15.0,14,15,3,0,100.0,2,DNB,0,0,0,0.0,1,1.0,1,0,0,1,v Ireland,Southampton,2020-08-01,ENG,15.0,6.5,BAT,Tom Banton,ENG,,39.0,,3
5491,S Mahmood,,0,0,0,0,0.0,2,9.0,0,45,2,5.0,1,1.0,1,0,0,1,v Ireland,Southampton,2020-08-01,ENG,,7.5,BOWL,Saqib Mahmood,ENG,Pace,62.0,,3
5493,AU Rashid,,0,0,0,0,0.0,2,10.0,0,34,3,3.4,1,1.0,1,0,0,1,v Ireland,Southampton,2020-08-01,ENG,,8.5,BOWL,Adil Rashid,ENG,Spin,91.0,,3
5497,AU Rashid,,0,0,0,0,0.0,2,10.0,3,26,1,2.6,1,0.0,0,0,0,0,v Ireland,Southampton,2020-07-30,ENG,,8.5,BOWL,Adil Rashid,ENG,Spin,51.0,,3
5498,T Banton,11.0,32,24,1,0,45.83,2,DNB,0,0,0,0.0,1,1.0,1,0,0,1,v Ireland,Southampton,2020-07-30,ENG,11.0,6.5,BAT,Tom Banton,ENG,,25.0,,3
5503,S Mahmood,,0,0,0,0,0.0,2,9.0,1,36,2,4.0,1,0.0,0,0,0,0,v Ireland,Southampton,2020-07-30,ENG,,7.5,BOWL,Saqib Mahmood,ENG,Pace,62.0,,3
5507,M Labuschagne,56.0,0,52,2,0,107.69,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v New Zealand,Sydney,2020-03-13,AUS,56.0,7.5,BAT,Marnus Labuschagne,AUS,,82.0,,2
5509,MJ Santner,14.0,0,16,1,0,87.5,2,10.0,0,34,2,3.4,1,0.0,0,0,0,0,v Australia,Sydney,2020-03-13,NZ,14.0,8.0,ALL,Mitchell Santner,NZ,Spin,76.0,,1
5513,AT Carey,1.0,0,2,0,0,50.0,1,DNB,0,0,0,0.0,2,2.0,2,0,2,0,v New Zealand,Sydney,2020-03-13,AUS,1.0,7.0,WK,Alex Carey,AUS,,21.0,,2
5514,TWM Latham,38.0,0,40,4,0,95.0,2,DNB,0,0,0,0.0,1,1.0,1,0,1,0,v Australia,Sydney,2020-03-13,NZ,38.0,7.5,WK,Tom Latham,NZ,,70.0,,1
5516,A Zampa,,0,0,0,0,0.0,1,8.0,0,50,2,6.25,2,0.0,0,0,0,0,v New Zealand,Sydney,2020-03-13,AUS,,9.0,BOWL,Adam Zampa,AUS,Spin,54.0,,2
5518,KS Williamson,19.0,0,26,2,0,73.07,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v Australia,Sydney,2020-03-13,NZ,19.0,9.0,BAT,Kane Williamson,NZ,,31.0,,1
5520,LH Ferguson,1.0,0,7,0,0,14.28,2,9.0,0,60,2,6.66,1,0.0,0,0,0,0,v Australia,Sydney,2020-03-13,NZ,1.0,7.5,BOWL,Lockie Ferguson,NZ,Pace,55.0,,1
5525,SPD Smith,14.0,0,17,0,1,82.35,1,1.0,0,8,0,8.0,2,1.0,1,0,0,1,v New Zealand,Sydney,2020-03-13,AUS,14.0,8.5,BAT,Steven Smith,AUS,,32.0,,2
5529,AT Carey,0.0,2,3,0,0,0.0,1,DNB,0,0,0,0.0,2,1.0,1,0,1,0,v South Africa,Potchefstroom,2020-03-07,AUS,0.0,7.0,WK,Alex Carey,AUS,,9.0,,2
5533,DA Miller,,14,5,0,0,60.0,2,DNB,0,0,0,0.0,1,1.0,1,0,0,1,v Australia,Potchefstroom,2020-03-07,SA,3.0,7.5,BAT,David Miller,SA,,15.0,,1
5538,A Zampa,,0,0,0,0,0.0,1,10.0,0,45,1,4.5,2,0.0,0,0,0,0,v South Africa,Potchefstroom,2020-03-07,AUS,,9.0,BOWL,Adam Zampa,AUS,Spin,29.0,,2
5543,M Labuschagne,108.0,163,108,8,0,100.0,1,DNB,0,0,0,0.0,2,1.0,1,0,0,1,v South Africa,Potchefstroom,2020-03-07,AUS,108.0,7.5,BAT,Marnus Labuschagne,AUS,,192.0,,2
5545,H Klaasen,,78,63,10,1,107.93,2,3.0,0,19,0,6.33,1,1.0,1,0,0,1,v Australia,Potchefstroom,2020-03-07,SA,68.0,9.0,WK,Heinrich Klaasen,SA,,140.0,,1
5547,KA Maharaj,,0,0,0,0,0.0,2,10.0,0,45,0,4.5,1,0.0,0,0,0,0,v Australia,Potchefstroom,2020-03-07,SA,,8.0,BOWL,Keshav Maharaj,SA,Spin,4.0,,1
5549,SPD Smith,20.0,32,26,3,0,76.92,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v South Africa,Potchefstroom,2020-03-07,AUS,20.0,8.5,BAT,Steven Smith,AUS,,36.0,,2
5556,Mustafizur Rahman,,0,0,0,0,0.0,1,6.0,0,32,1,5.33,2,0.0,0,0,0,0,v Zimbabwe,Sylhet,2020-03-06,BAN,,8.0,BOWL,Mustafizur Rahman,BAN,Pace,29.0,,3
5557,Mahmudullah,3.0,0,4,0,0,75.0,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v Zimbabwe,Sylhet,2020-03-06,BAN,3.0,7.5,ALL,Mohammad Mahmudullah,BAN,Spin,7.0,,3
5558,Mehidy Hasan Miraz,,0,0,0,0,0.0,1,8.0,0,47,0,5.87,2,1.0,1,0,0,1,v Zimbabwe,Sylhet,2020-03-06,BAN,,8.5,ALL,Mehidy Hasan Miraz,BAN,Spin,12.0,,3
5570,M Labuschagne,0.0,2,1,0,0,0.0,1,1.0,0,11,0,11.0,2,0.0,0,0,0,0,v South Africa,Bloemfontein,2020-03-04,AUS,0.0,7.5,BAT,Marnus Labuschagne,AUS,,1.0,,2
5571,AT Carey,21.0,34,21,1,0,100.0,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v South Africa,Bloemfontein,2020-03-04,AUS,21.0,7.0,WK,Alex Carey,AUS,,29.0,,2
5573,H Klaasen,51.0,64,52,3,1,98.07,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v Australia,Bloemfontein,2020-03-04,SA,51.0,9.0,WK,Heinrich Klaasen,SA,,85.0,,1
5574,SPD Smith,13.0,29,17,1,0,76.47,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v South Africa,Bloemfontein,2020-03-04,AUS,13.0,8.5,BAT,Steven Smith,AUS,,21.0,,2
5576,L Ngidi,,0,0,0,0,0.0,2,10.0,0,58,6,5.8,1,0.0,0,0,0,0,v Australia,Bloemfontein,2020-03-04,SA,,7.0,BOWL,Lungi Ngidi,SA,Pace,158.0,,1
5578,A Zampa,,7,3,0,0,100.0,1,10.0,0,48,2,4.8,2,0.0,0,0,0,0,v South Africa,Bloemfontein,2020-03-04,AUS,3.0,9.0,BOWL,Adam Zampa,AUS,Spin,57.0,,2
5579,DA Miller,,47,29,3,0,127.58,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v Australia,Bloemfontein,2020-03-04,SA,37.0,7.5,BAT,David Miller,SA,,61.0,,1
5581,KA Maharaj,,0,0,0,0,0.0,2,10.0,0,53,0,5.3,1,1.0,1,0,0,1,v Australia,Bloemfontein,2020-03-04,SA,,8.0,BOWL,Keshav Maharaj,SA,Spin,12.0,,1
5582,T Shamsi,,0,0,0,0,0.0,2,10.0,0,54,1,5.4,1,0.0,0,0,0,0,v Australia,Bloemfontein,2020-03-04,SA,,6.5,BOWL,Tabraiz Shamsi,SA,Spin,29.0,,1
5584,Najmul Hossain Shanto,6.0,0,10,1,0,60.0,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v Zimbabwe,Sylhet,2020-03-03,BAN,6.0,8.0,BAT,Najmul Hossain Shanto,BAN,,14.0,,3
5589,Mushfiqur Rahim,55.0,0,50,6,0,110.0,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v Zimbabwe,Sylhet,2020-03-03,BAN,55.0,8.0,WK,Mushfiqur Rahim,BAN,,97.0,,3
5591,Mehidy Hasan Miraz,5.0,0,6,0,0,83.33,1,7.0,0,25,1,3.57,2,0.0,0,0,0,0,v Zimbabwe,Sylhet,2020-03-03,BAN,5.0,8.5,ALL,Mehidy Hasan Miraz,BAN,Spin,36.0,,3
5593,Mahmudullah,41.0,0,57,3,0,71.92,1,4.0,0,22,0,5.5,2,1.0,1,0,0,1,v Zimbabwe,Sylhet,2020-03-03,BAN,41.0,7.5,ALL,Mohammad Mahmudullah,BAN,Spin,69.0,,3
5598,Mushfiqur Rahim,19.0,0,26,0,0,73.07,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v Zimbabwe,Sylhet,2020-03-01,BAN,19.0,8.0,WK,Mushfiqur Rahim,BAN,,23.0,,3
5599,Najmul Hossain Shanto,29.0,0,38,1,2,76.31,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v Zimbabwe,Sylhet,2020-03-01,BAN,29.0,8.0,BAT,Najmul Hossain Shanto,BAN,,53.0,,3
5600,Mustafizur Rahman,,0,0,0,0,0.0,1,6.0,0,22,1,3.66,2,0.0,0,0,0,0,v Zimbabwe,Sylhet,2020-03-01,BAN,,8.0,BOWL,Mustafizur Rahman,BAN,Pace,31.0,,3
5601,Mahmudullah,32.0,0,28,2,1,114.28,1,3.0,0,12,0,4.0,2,2.0,2,0,0,2,v Zimbabwe,Sylhet,2020-03-01,BAN,32.0,7.5,ALL,Mohammad Mahmudullah,BAN,Spin,72.0,,3
5602,Mehidy Hasan Miraz,7.0,0,4,0,1,175.0,1,8.0,1,33,2,4.12,2,1.0,1,0,0,1,v Zimbabwe,Sylhet,2020-03-01,BAN,7.0,8.5,ALL,Mehidy Hasan Miraz,BAN,Spin,83.0,,3
5607,L Ngidi,,0,0,0,0,0.0,1,8.0,0,30,3,3.75,2,1.0,1,0,0,1,v Australia,Paarl,2020-02-29,SA,,7.0,BOWL,Lungi Ngidi,SA,Pace,89.0,,1
5609,H Klaasen,,176,114,7,3,107.89,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v Australia,Paarl,2020-02-29,SA,123.0,9.0,WK,Heinrich Klaasen,SA,,215.0,,1
5610,KA Maharaj,2.0,5,2,0,0,100.0,1,10.0,0,48,1,4.8,2,0.0,0,0,0,0,v Australia,Paarl,2020-02-29,SA,2.0,8.0,BOWL,Keshav Maharaj,SA,Spin,31.0,,1
5611,DA Miller,64.0,93,70,4,1,91.42,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v Australia,Paarl,2020-02-29,SA,64.0,7.5,BAT,David Miller,SA,,102.0,,1
5612,T Shamsi,,0,0,0,0,0.0,1,10.0,0,45,2,4.5,2,0.0,0,0,0,0,v Australia,Paarl,2020-02-29,SA,,6.5,BOWL,Tabraiz Shamsi,SA,Spin,54.0,,1
5613,AT Carey,5.0,30,16,0,0,31.25,2,DNB,0,0,0,0.0,1,2.0,2,0,2,0,v South Africa,Paarl,2020-02-29,AUS,5.0,7.0,WK,Alex Carey,AUS,,25.0,,2
5614,M Labuschagne,41.0,74,51,2,0,80.39,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v South Africa,Paarl,2020-02-29,AUS,41.0,7.5,BAT,Marnus Labuschagne,AUS,,57.0,,2
5617,T Bavuma,26.0,45,30,3,0,86.66,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v Australia,Paarl,2020-02-29,SA,26.0,8.0,BAT,Temba Bavuma,SA,,46.0,,1
5624,A Zampa,,10,5,1,0,140.0,2,10.0,0,48,0,4.8,1,0.0,0,0,0,0,v South Africa,Paarl,2020-02-29,AUS,7.0,9.0,BOWL,Adam Zampa,AUS,Spin,15.0,,2
5625,SPD Smith,76.0,129,94,3,0,80.85,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v South Africa,Paarl,2020-02-29,AUS,76.0,8.5,BAT,Steven Smith,AUS,,116.0,,2
5631,TWM Latham,,70,34,3,0,94.11,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v India,Mount Maunganui,2020-02-11,NZ,32.0,7.5,WK,Tom Latham,NZ,,52.0,,1
