,player,runs,mins,bf,4s,6s,sr,inns_batting,overs,mdns,runs_given,wkts,econ,inns_bowling,dis,ct,st,ct_wk,ct_fi,opposition,ground,start_date,country,runs_clean,Credits,Player Type,Player Name,Team,Bowling Style,fantasy_points,preferred_style,opponent_tier
50,SH Johnson,,0,0,0,0,0.0,2,7.0,0,54,0,7.71,1,0.0,0,0,0,0,v England,Lahore,2025-02-22,AUS,,7.0,BOWL,Spencer Johnson,AUS,Pace,2.0,BAT,1
51,BM Duckett,165.0,215,143,17,3,115.38,1,DNB,0,0,0,0.0,2,1.0,1,0,0,1,v Australia,Lahore,2025-02-22,ENG,165.0,8.0,BAT,Ben Duckett,ENG,,349.0,BAT,1
52,AU Rashid,,2,1,0,0,100.0,1,10.0,1,47,1,4.7,2,0.0,0,0,0,0,v Australia,Lahore,2025-02-22,ENG,1.0,8.5,BOWL,Adil Rashid,ENG,Spin,36.0,BAT,1
53,HC Brook,3.0,16,6,0,0,50.0,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v Australia,Lahore,2025-02-22,ENG,3.0,7.0,BAT,Harry Brook,ENG,,7.0,BAT,1
54,JP Inglis,,134,86,8,6,139.53,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v England,Lahore,2025-02-22,AUS,120.0,7.5,WK,Josh Inglis,AUS,,236.0,BAT,1
55,M Labuschagne,47.0,65,45,5,0,104.44,2,5.0,0,41,2,8.2,1,1.0,1,0,0,1,v England,Lahore,2025-02-22,AUS,47.0,7.5,BAT,Marnus Labuschagne,AUS,,131.0,BAT,1
56,AT Carey,69.0,85,63,8,0,109.52,2,DNB,0,0,0,0.0,1,3.0,3,0,0,3,v England,Lahore,2025-02-22,AUS,69.0,7.0,WK,Alex Carey,AUS,,147.0,BAT,1
57,JC Buttler,23.0,28,21,1,1,109.52,1,DNB,0,0,0,0.0,2,2.0,2,0,0,2,v Australia,Lahore,2025-02-22,ENG,23.0,8.5,WK,Jos Buttler,ENG,,55.0,BAT,1
58,MA Wood,,0,0,0,0,0.0,1,9.3,0,75,1,7.89,2,0.0,0,0,0,0,v Australia,Lahore,2025-02-22,ENG,,7.5,BOWL,Mark Wood,ENG,Pace,27.0,BAT,1
59,SPD Smith,5.0,5,6,1,0,83.33,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v England,Lahore,2025-02-22,AUS,5.0,8.5,BAT,Steven Smith,AUS,,13.0,BAT,1
60,TM Head,6.0,16,5,1,0,120.0,2,DNB,0,0,0,0.0,1,0.0,0,0,0,0,v England,Lahore,2025-02-22,AUS,6.0,9.0,BAT,Travis Head,AUS,,14.0,BAT,1
61,A Zampa,,0,0,0,0,0.0,2,10.0,0,64,2,6.4,1,0.0,0,0,0,0,v England,Lahore,2025-02-22,AUS,,9.0,BOWL,Adam Zampa,AUS,Spin,54.0,BAT,1
62,PD Salt,10.0,8,6,1,1,166.66,1,DNB,0,0,0,0.0,2,0.0,0,0,0,0,v Australia,Lahore,2025-02-22,ENG,10.0,7.5,WK,Philip Salt,ENG,,24.0,BAT,1
63,LS Livingstone,14.0,26,17,0,1,82.35,1,7.0,0,47,1,6.71,2,1.0,1,0,0,1,v Australia,Lahore,2025-02-22,ENG,14.0,7.0,ALL,Liam Livingstone,ENG,Spin,57.0,BAT,1
64,MW Short,63.0,101,66,9,1,95.45,2,1.0,0,7,0,7.0,1,0.0,0,0,0,0,v England,Lahore,2025-02-22,AUS,63.0,7.0,ALL,Matthew Short,AUS,Spin,121.0,BAT,1
65,BJ Dwarshuis,,0,0,0,0,0.0,2,10.0,0,66,3,6.6,1,0.0,0,0,0,0,v England,Lahore,2025-02-22,AUS,,6.5,BOWL,Ben Dwarshuis,AUS,Pace,79.0,BAT,1
66,Mohammad Nabi,8.0,22,17,0,0,47.05,2,10.0,0,51,2,5.1,1,0.0,0,0,0,0,v South Africa,Karachi,2025-02-21,AFG,8.0,8.0,ALL,Mohammad Nabi,AFG,Spin,62.0,BAL,2
